#LST
154	proj.img
453	start.hed	510.17,  0.267962,-1.475,2.020,1
455	start.hed	509.06,  1.929064,0.287,3.728,1
1230	start.hed	506.89,  -2.461186,3.871,-0.223,1
1124	start.hed	507.67,  -1.438577,-2.674,-0.291,1
1655	start.hed	506.95,  1.753953,-0.670,-2.322,0
2396	start.hed	507.75,  -1.763316,-5.532,-1.324,0
2585	start.hed	506.12,  1.453894,3.855,-0.603,0
2837	start.hed	510.13,  -1.076004,-2.090,3.620,0
4072	start.hed	508.73,  -1.014182,0.665,-4.288,0
4617	start.hed	505.14,  0.572823,2.145,5.133,0
5557	start.hed	504.41,  -1.443995,-8.960,3.561,1
6675	start.hed	510.59,  0.581640,3.910,8.066,0
6839	start.hed	508.99,  0.961100,0.330,-2.749,0
7383	start.hed	500.81,  -0.556332,-1.821,1.374,0
8113	start.hed	501.96,  -1.323559,-10.368,0.437,0
8359	start.hed	507.24,  0.047300,8.874,-8.829,0
8591	start.hed	502.17,  -2.256269,-3.582,-3.985,1
9044	start.hed	507.82,  0.166472,5.315,11.786,0
9119	start.hed	512.94,  -2.448653,0.127,-6.666,1
9828	start.hed	509.78,  1.559852,-0.256,0.805,0
10974	start.hed	515.59,  -1.036019,-3.147,3.427,0
11119	start.hed	501.96,  -1.323559,-10.368,0.437,0
14019	start.hed	508.79,  0.512160,-2.306,1.746,1
14111	start.hed	515.93,  -1.624429,-1.828,0.270,1
14307	start.hed	504.88,  0.100094,1.667,2.777,0
