#LST
425	proj.img
420	start.hed	501.91,  -0.412160,7.699,7.228,0
1102	start.hed	511.69,  0.648517,-0.858,2.542,0
2551	start.hed	517.12,  0.633138,4.776,8.283,0
3019	start.hed	509.27,  1.958230,5.569,-1.751,1
3736	start.hed	514.39,  0.879422,3.201,4.846,1
4977	start.hed	506.50,  -2.195665,-6.991,-5.568,1
5285	start.hed	504.10,  2.365418,5.194,-1.981,0
6201	start.hed	506.90,  0.365639,-0.223,9.335,1
6339	start.hed	508.44,  1.505857,2.355,1.422,1
6435	start.hed	505.91,  -0.050579,-0.045,13.225,1
6676	start.hed	500.24,  -0.139524,-1.010,7.629,0
7541	start.hed	514.23,  -2.531521,-4.967,-1.790,1
8000	start.hed	502.29,  1.597137,10.343,4.516,0
8549	start.hed	505.52,  -1.647253,-7.101,-1.271,1
8516	start.hed	505.00,  -1.867913,4.676,13.219,1
9099	start.hed	507.77,  2.465485,3.957,-4.943,0
9247	start.hed	512.32,  -2.979409,-0.907,-4.431,1
9248	start.hed	500.47,  2.682337,2.774,-3.179,1
9410	start.hed	502.59,  -2.159193,6.264,6.583,1
9731	start.hed	509.41,  -1.863030,-8.927,-2.698,1
10665	start.hed	502.76,  -2.625244,-4.694,-2.675,1
11180	start.hed	502.71,  -0.301638,-2.564,7.021,0
11377	start.hed	510.24,  1.706982,7.533,0.386,0
11465	start.hed	510.48,  0.573087,5.260,4.560,0
13390	start.hed	509.78,  0.339973,1.189,4.094,0
13596	start.hed	511.29,  -0.001603,2.050,3.977,0
13767	start.hed	509.72,  2.174080,4.728,-4.418,0
15186	start.hed	504.21,  -0.077954,-0.429,6.515,0
