#LST
599	proj.img
356	start.hed	509.15,  -3.013986,-2.586,-3.701,1
140	start.hed	513.49,  0.694433,6.197,3.407,1
944	start.hed	508.06,  1.913391,0.750,2.122,0
200	start.hed	509.53,  -2.701893,0.728,-6.886,0
2498	start.hed	507.96,  -2.899860,-4.973,-6.826,1
2856	start.hed	501.63,  3.015611,-0.957,-7.234,1
2797	start.hed	506.57,  3.077627,7.629,-8.810,0
2973	start.hed	507.96,  -2.521643,-6.986,-6.822,0
3043	start.hed	502.47,  1.853251,3.970,-6.371,1
2923	start.hed	507.18,  -1.788210,-4.444,1.451,1
3545	start.hed	514.39,  2.114283,2.103,-6.523,1
4388	start.hed	505.48,  2.365745,2.115,-6.026,1
4976	start.hed	508.28,  0.332050,2.257,3.738,0
5137	start.hed	502.48,  1.090415,8.443,5.542,1
7267	start.hed	508.25,  0.483680,3.493,7.522,0
7290	start.hed	503.71,  -1.029097,-9.415,5.578,0
7656	start.hed	504.46,  2.000260,2.949,3.268,0
8259	start.hed	503.30,  -1.486110,-5.059,-2.138,0
8678	start.hed	507.16,  -0.068522,6.264,11.847,0
9602	start.hed	501.31,  3.113388,-6.131,4.597,1
10307	start.hed	514.32,  -2.934842,1.265,-4.995,0
10554	start.hed	508.82,  0.745578,-0.731,8.244,0
12031	start.hed	505.61,  -1.465192,-7.570,0.322,1
12044	start.hed	516.93,  1.884326,5.369,-1.655,0
12158	start.hed	505.61,  -1.465192,-7.570,0.322,1
12171	start.hed	516.93,  1.884326,5.369,-1.655,0
12500	start.hed	518.32,  -1.054640,-2.769,2.642,0
12690	start.hed	510.24,  -0.169354,-3.106,4.308,0
12796	start.hed	518.99,  -1.051943,-2.710,2.514,0
14357	start.hed	507.12,  -1.973114,-7.188,-3.608,0
