#LST
601	proj.img
120	start.hed	510.73,  -2.108248,-13.566,-5.189,1
981	start.hed	507.39,  -2.450794,-4.053,-6.646,0
1579	start.hed	508.46,  1.064701,4.930,3.558,0
1486	start.hed	513.14,  0.878161,1.083,9.321,1
2452	start.hed	505.77,  -2.806489,-10.000,-10.000,1
2453	start.hed	508.30,  -2.100596,-10.980,-3.547,1
2496	start.hed	513.18,  0.197383,-10.257,-9.307,0
3140	start.hed	506.48,  2.814809,6.930,-5.414,0
3863	start.hed	511.40,  -2.800762,0.345,-3.866,1
4124	start.hed	514.70,  3.056430,-0.671,-3.834,1
4735	start.hed	509.28,  2.862004,3.527,-1.372,0
5621	start.hed	506.55,  -1.861338,-5.168,-1.843,1
5835	start.hed	503.69,  -0.669730,2.120,-9.965,0
6485	start.hed	506.20,  1.260904,4.557,0.541,1
6911	start.hed	512.02,  1.383199,8.618,0.570,0
7161	start.hed	504.44,  -1.622061,-2.756,-0.720,0
9463	start.hed	515.25,  1.891536,3.833,0.531,0
11439	start.hed	516.18,  -1.057977,-3.659,2.116,1
11543	start.hed	516.47,  -1.056702,-3.674,2.179,1
13275	start.hed	509.06,  0.752346,4.249,2.373,1
13292	start.hed	508.43,  1.131496,7.838,0.691,1
14013	start.hed	514.61,  2.374620,1.712,-4.987,1
14294	start.hed	503.42,  -2.270163,-4.619,-1.981,1
14406	start.hed	505.93,  0.245687,0.884,6.347,0
14409	start.hed	506.19,  0.245791,5.807,2.813,0
14445	start.hed	508.15,  -1.798030,-6.304,-2.272,1
14670	start.hed	502.72,  -2.836087,-0.372,-4.906,0
14680	start.hed	501.50,  -1.454110,-0.166,3.187,1
14855	start.hed	502.56,  -1.452192,-0.038,3.255,1
14908	start.hed	512.09,  1.570973,2.996,1.019,0
