#LST
604	proj.img
1058	start.hed	504.68,  -0.596146,2.404,-12.133,0
553	start.hed	503.26,  2.153208,5.205,-0.862,0
1890	start.hed	514.16,  1.520644,5.936,1.745,0
1837	start.hed	511.19,  0.973410,4.507,5.031,0
1919	start.hed	515.28,  1.479987,8.361,1.719,1
2237	start.hed	518.30,  -2.947442,-0.091,-10.437,0
2564	start.hed	511.06,  1.664313,9.019,0.529,0
3015	start.hed	508.21,  0.773015,3.071,5.798,0
3169	start.hed	506.62,  -1.570167,-6.022,1.014,0
3082	start.hed	510.56,  2.284790,6.054,-4.268,1
2929	start.hed	506.52,  -1.335752,-3.311,1.100,0
3252	start.hed	506.36,  -1.568831,-6.011,0.989,0
3543	start.hed	516.80,  -2.846042,-0.154,-4.797,0
3676	start.hed	513.72,  -2.050537,-6.856,-1.370,1
4137	start.hed	515.12,  -1.933571,-6.918,-0.195,0
5468	start.hed	515.25,  -1.172062,-5.034,-1.197,1
5723	start.hed	500.72,  1.713214,7.807,-0.697,1
6221	start.hed	506.01,  -0.401335,-5.370,8.822,1
6135	start.hed	504.31,  -0.449497,-3.538,5.108,1
6780	start.hed	512.46,  1.597068,4.663,3.111,1
8802	start.hed	504.49,  -3.040146,-0.943,-3.463,0
8663	start.hed	505.76,  0.437707,1.138,4.821,0
9155	start.hed	504.42,  2.414700,7.318,-0.957,0
9339	start.hed	504.22,  -1.384790,-4.912,2.490,1
9196	start.hed	504.66,  -0.842585,-4.065,3.042,0
9420	start.hed	509.40,  2.978055,2.014,-7.601,0
9721	start.hed	508.53,  1.975211,3.879,-3.350,0
10078	start.hed	515.35,  -1.325341,-3.257,0.515,0
9962	start.hed	516.61,  -0.556330,-1.764,4.825,0
10392	start.hed	501.83,  0.027731,2.899,9.296,0
10681	start.hed	510.95,  -1.739583,-5.311,1.005,1
10694	start.hed	507.61,  1.029087,4.995,4.487,1
12410	start.hed	506.63,  0.351910,5.243,0.490,0
13040	start.hed	506.02,  2.066846,7.730,-2.421,1
13287	start.hed	510.71,  0.490929,7.004,2.631,1
13868	start.hed	505.69,  0.375130,4.888,1.606,0
14721	start.hed	513.16,  -1.209658,-4.254,1.257,1
14729	start.hed	505.98,  -0.730622,-1.491,3.000,0
14970	start.hed	511.06,  -2.835613,-9.529,-10.589,1
14982	start.hed	512.76,  2.657097,2.814,-3.037,0
14999	start.hed	513.72,  -2.860150,-1.696,-4.939,0
15159	start.hed	507.92,  -0.286226,-0.507,0.945,1
15342	start.hed	514.85,  -2.986886,-6.481,-1.098,0
