#LST
262	proj.img
239	start.hed	513.55,  2.135939,3.438,-0.733,1
2627	start.hed	508.47,  2.138943,8.905,4.321,0
3360	start.hed	507.85,  -0.881046,-5.873,-1.010,0
4253	start.hed	511.84,  -0.094148,-9.081,-9.618,0
4386	start.hed	509.88,  -1.108221,-5.303,-0.693,0
4483	start.hed	505.78,  0.843292,8.223,1.952,1
5714	start.hed	506.42,  -1.539750,-6.252,-5.499,0
6194	start.hed	504.30,  0.200796,-4.422,12.139,0
6351	start.hed	504.48,  -1.923425,-4.033,-1.467,0
7308	start.hed	503.70,  1.802327,4.432,-2.600,0
8122	start.hed	502.46,  0.329324,7.935,7.325,1
8232	start.hed	507.23,  -0.893777,0.202,4.452,1
9557	start.hed	505.41,  0.988645,6.812,2.711,1
9926	start.hed	505.15,  -1.570659,-9.001,-1.988,0
11128	start.hed	502.46,  0.329324,7.935,7.325,1
11431	start.hed	508.35,  -0.805612,-8.013,6.515,1
11676	start.hed	508.13,  2.735774,-0.886,-11.297,1
11651	start.hed	511.11,  0.900305,6.169,6.856,0
11798	start.hed	503.27,  2.224002,-4.644,-7.704,1
11963	start.hed	505.14,  -2.291349,-9.808,4.429,0
12721	start.hed	507.23,  -2.287732,-5.467,-8.851,0
13235	start.hed	502.76,  2.410114,-3.197,-13.676,0
13389	start.hed	510.13,  0.818856,8.384,6.963,0
13574	start.hed	502.76,  2.410114,-3.197,-13.676,0
15077	start.hed	519.03,  2.372632,-5.690,11.534,0
