#LST
272	proj.img
259	start.hed	508.87,  2.798987,11.078,-3.752,1
1218	start.hed	507.79,  -2.301497,-11.395,0.223,0
1154	start.hed	511.37,  2.567909,13.360,-5.140,1
3668	start.hed	514.98,  1.804676,-3.321,-0.167,0
4599	start.hed	503.51,  2.758601,-9.548,-3.172,0
4647	start.hed	529.37,  2.385187,-4.457,-7.708,0
5057	start.hed	502.31,  -1.199538,-12.360,-6.998,1
5564	start.hed	506.33,  0.903392,10.005,5.381,0
6123	start.hed	509.13,  -0.336542,-7.804,0.268,1
7296	start.hed	506.52,  -1.196437,-5.326,-3.633,1
7740	start.hed	513.34,  2.910370,-0.105,-6.130,1
9151	start.hed	508.78,  0.841761,10.719,-9.401,0
9174	start.hed	510.43,  2.822747,5.475,-6.660,0
9629	start.hed	511.63,  1.968731,-10.000,9.000,1
10521	start.hed	510.39,  -0.036701,0.350,9.805,1
10731	start.hed	510.67,  1.139928,5.456,9.107,1
10839	start.hed	503.23,  0.168781,7.317,6.524,0
12103	start.hed	503.33,  1.307015,2.723,10.695,1
12230	start.hed	503.33,  1.307015,2.723,10.695,1
12342	start.hed	510.12,  -0.529568,0.695,9.702,1
12863	start.hed	505.63,  0.544003,-6.309,-13.172,0
13457	start.hed	512.69,  2.660324,-5.040,-10.030,0
13653	start.hed	504.41,  -1.546739,-8.025,10.433,0
14176	start.hed	506.82,  -1.135127,-4.407,-9.295,1
14279	start.hed	509.77,  1.593969,-1.149,-13.208,0
14422	start.hed	513.31,  2.228521,-9.555,-9.826,0
14555	start.hed	511.11,  -3.419797,-3.999,-9.914,1
15241	start.hed	508.42,  1.650795,3.136,-11.358,0
