#LST
423	proj.img
1072	start.hed	502.24,  0.775777,10.413,9.186,1
1093	start.hed	512.67,  0.967969,10.695,6.418,1
588	start.hed	508.74,  0.438644,2.905,9.785,0
1334	start.hed	504.32,  2.844059,3.264,-2.764,0
1498	start.hed	503.68,  0.240270,-0.864,1.334,0
1598	start.hed	506.04,  1.261178,4.424,2.129,0
2038	start.hed	510.50,  2.138663,4.951,-2.124,0
2533	start.hed	505.83,  -1.391096,-2.032,-1.224,0
2747	start.hed	509.04,  -0.782638,-2.647,4.323,1
3277	start.hed	509.46,  0.800865,3.307,8.323,0
3916	start.hed	512.26,  -0.159245,-2.499,4.691,0
4261	start.hed	515.12,  2.530672,-4.821,-10.658,1
4271	start.hed	512.67,  2.969748,0.028,-1.244,1
4438	start.hed	510.11,  -2.764196,-3.808,-3.634,1
4659	start.hed	502.81,  -2.900289,-1.954,-4.722,1
4963	start.hed	506.14,  2.304303,8.276,-1.393,0
5498	start.hed	509.62,  2.540442,1.770,-4.165,1
6084	start.hed	507.48,  0.132958,3.235,-9.167,0
6353	start.hed	502.33,  2.656343,3.580,-3.212,0
7012	start.hed	508.22,  -0.863867,-5.873,8.288,1
7352	start.hed	504.39,  -1.129566,-2.634,4.686,1
7406	start.hed	504.49,  -3.026625,-2.568,-0.401,0
8173	start.hed	498.23,  -1.398705,-4.913,1.421,1
8594	start.hed	511.37,  2.972467,0.383,-4.772,1
8967	start.hed	507.39,  -2.374836,-2.925,-5.988,0
9011	start.hed	510.09,  -0.784345,-7.281,2.797,1
9321	start.hed	507.58,  1.760896,5.288,1.094,0
9468	start.hed	514.26,  2.172786,4.930,-4.620,1
9607	start.hed	507.84,  1.688078,5.562,-3.692,1
10431	start.hed	512.05,  -1.269568,-8.816,3.574,1
11248	start.hed	502.23,  -2.534218,-10.000,-10.000,0
11736	start.hed	505.97,  3.063430,2.995,-5.135,0
12024	start.hed	512.04,  -1.293725,-6.123,8.257,1
11907	start.hed	505.79,  -2.799894,0.065,-4.049,0
12151	start.hed	512.04,  -1.293725,-6.123,8.257,1
12360	start.hed	507.12,  -2.967249,7.079,8.851,0
13384	start.hed	506.91,  2.567811,7.351,-4.897,0
13925	start.hed	509.58,  -2.003016,-4.791,-2.129,0
13996	start.hed	508.08,  1.634427,6.297,-0.162,1
14342	start.hed	512.31,  0.347401,-1.595,6.547,0
