#LST
223	proj.img
598	start.hed	504.25,  -0.421128,-9.921,7.711,1
1220	start.hed	512.45,  2.483422,3.810,-7.486,0
1824	start.hed	512.05,  1.280036,7.131,-4.045,0
2160	start.hed	518.86,  -0.787526,-3.456,10.271,0
2774	start.hed	508.77,  0.246172,-1.571,2.204,1
2804	start.hed	510.01,  1.060431,9.104,0.936,1
2975	start.hed	507.47,  0.981856,4.427,9.806,1
3425	start.hed	508.35,  -2.018983,-7.695,-0.898,0
4151	start.hed	513.47,  -1.177707,-9.818,-1.520,1
4536	start.hed	508.71,  2.889401,-4.856,-6.002,0
4620	start.hed	516.29,  -2.130069,-11.443,-1.895,0
4522	start.hed	511.12,  -1.756628,-11.677,-5.088,1
5432	start.hed	508.54,  -1.524483,-4.088,-0.704,0
6116	start.hed	511.69,  2.297302,0.760,-4.397,0
6755	start.hed	503.86,  2.319489,0.617,-0.029,1
7525	start.hed	504.07,  0.834193,3.533,9.657,1
7530	start.hed	499.76,  1.849325,10.270,-1.829,0
7589	start.hed	504.86,  -0.700503,-2.120,8.251,0
7715	start.hed	527.74,  2.311108,0.481,-13.801,1
8140	start.hed	500.23,  1.087367,9.255,6.337,1
8673	start.hed	502.31,  1.778397,11.076,5.156,1
9341	start.hed	508.23,  -0.338285,-1.213,7.752,1
10447	start.hed	512.68,  -2.378695,-1.144,-9.821,1
10469	start.hed	505.91,  -1.830590,-3.529,-1.549,0
10577	start.hed	513.95,  -1.446780,6.037,13.205,1
10804	start.hed	507.14,  -3.010870,-0.164,-6.493,1
10857	start.hed	510.32,  -2.543768,0.461,-11.120,1
10992	start.hed	504.33,  -2.107258,-5.618,-0.433,0
11223	start.hed	504.33,  2.014307,-8.377,-10.826,1
11146	start.hed	500.23,  1.087367,9.255,6.337,1
11178	start.hed	515.61,  2.278961,5.183,-0.119,1
11446	start.hed	508.52,  0.031227,-4.405,4.750,1
11552	start.hed	508.71,  0.029507,-4.422,4.643,1
11924	start.hed	510.79,  -0.667596,-2.308,6.438,0
12476	start.hed	502.78,  3.268414,-10.883,-8.810,0
14116	start.hed	508.24,  -0.538590,-3.773,13.152,0
14462	start.hed	510.23,  2.602558,8.671,-6.374,1
