#LST
476	proj.img
504	start.hed	505.67,  0.074548,-4.888,11.162,0
1938	start.hed	508.98,  0.420774,-1.024,7.408,0
5112	start.hed	507.66,  1.572799,5.997,-5.178,1
6390	start.hed	505.54,  -2.164347,-0.701,-5.078,0
6761	start.hed	514.48,  0.176332,5.232,-8.542,1
7086	start.hed	511.78,  -0.148477,4.193,0.811,1
7874	start.hed	503.83,  -0.785682,-5.168,-1.982,1
8638	start.hed	502.91,  -2.898314,-1.244,-7.935,0
8648	start.hed	510.71,  -0.080111,-2.204,6.392,1
8672	start.hed	504.67,  2.957986,-0.793,-5.603,1
9147	start.hed	507.23,  -0.389369,-1.168,11.871,0
9257	start.hed	506.17,  0.553641,-0.582,5.843,0
10994	start.hed	502.06,  0.332575,-2.249,8.449,0
11193	start.hed	501.46,  -0.662665,3.429,4.223,1
11234	start.hed	501.90,  1.109908,3.920,4.558,0
11717	start.hed	504.68,  2.645172,0.878,-8.651,0
11773	start.hed	502.29,  -2.806857,4.313,-2.795,0
12329	start.hed	509.37,  -0.860419,-1.369,2.106,1
12429	start.hed	502.20,  -0.218813,-5.748,3.772,0
13052	start.hed	513.04,  2.326382,2.561,-3.982,1
13102	start.hed	502.31,  -1.325910,1.782,2.359,0
13310	start.hed	502.53,  0.200020,0.880,2.751,1
13672	start.hed	504.08,  0.734030,2.977,9.377,1
15213	start.hed	517.16,  0.705783,10.189,9.017,1
15299	start.hed	508.52,  -0.389633,-7.191,9.029,0
