#LST
542	proj.img
834	start.hed	508.00,  -1.864537,-5.427,-1.149,1
2241	start.hed	511.88,  -0.431995,-1.946,5.928,1
2467	start.hed	515.06,  1.675530,5.525,-2.046,1
3341	start.hed	513.35,  2.134911,4.998,5.087,0
3359	start.hed	512.67,  -2.600191,1.718,13.696,1
3198	start.hed	509.86,  0.400137,5.297,8.120,1
3720	start.hed	522.69,  -0.464810,-1.997,5.500,1
3581	start.hed	505.23,  -1.213540,-5.587,3.498,1
4720	start.hed	508.19,  -2.154235,-3.787,-4.719,0
4729	start.hed	509.94,  -2.103709,-4.579,-1.462,1
5066	start.hed	504.97,  0.417357,4.088,8.414,0
5462	start.hed	505.73,  -0.863951,-6.726,10.464,1
5746	start.hed	512.37,  -2.175757,-5.950,-0.124,0
6274	start.hed	505.49,  -1.008110,-4.052,4.414,0
6798	start.hed	510.25,  1.615993,8.617,0.914,0
7004	start.hed	511.99,  2.770670,4.849,-7.422,0
7457	start.hed	503.23,  -0.906397,-7.435,7.685,1
8677	start.hed	504.09,  1.592395,9.078,2.545,0
9013	start.hed	500.98,  2.179405,4.505,-1.535,0
9448	start.hed	504.57,  -3.035243,1.580,-4.996,0
9824	start.hed	509.43,  3.017429,1.130,-5.283,1
9870	start.hed	507.36,  2.083580,4.907,-2.108,0
9874	start.hed	503.96,  -0.560197,-0.598,6.773,1
10965	start.hed	506.28,  0.391597,3.136,4.905,1
11186	start.hed	507.15,  -2.885252,-1.440,-6.158,1
12273	start.hed	509.66,  2.597169,1.911,-5.042,1
12460	start.hed	503.30,  -2.198578,-4.973,-4.182,0
13995	start.hed	507.43,  2.853929,1.894,-5.466,0
14500	start.hed	513.61,  -1.075207,-7.410,4.712,0
14520	start.hed	512.78,  0.600384,3.573,6.164,1
15192	start.hed	504.26,  -0.680138,-4.715,4.456,1
