#LST
685	proj.img
462	start.hed	507.58,  1.110316,7.247,1.538,0
472	start.hed	503.83,  -2.836641,3.075,-7.534,1
1229	start.hed	509.10,  2.600822,3.008,-7.326,0
1780	start.hed	506.75,  0.718701,1.139,8.844,1
2182	start.hed	503.71,  3.030830,0.699,-10.867,0
2363	start.hed	503.78,  -0.204735,4.462,-6.295,0
2619	start.hed	508.00,  1.054362,4.499,8.980,1
2850	start.hed	512.44,  2.732327,0.708,-7.037,1
3500	start.hed	524.93,  -1.391273,-10.012,1.672,0
3432	start.hed	509.26,  2.767091,0.195,-3.398,0
4865	start.hed	509.27,  -0.765886,-6.334,7.548,1
5292	start.hed	508.82,  -1.788546,-9.338,3.019,0
5342	start.hed	510.87,  2.771325,-0.682,-7.115,0
6254	start.hed	503.97,  -0.264775,3.929,5.317,0
5982	start.hed	507.27,  1.210523,6.964,-7.861,0
7567	start.hed	506.21,  -1.414792,0.553,0.657,1
7928	start.hed	500.95,  2.838247,11.509,-7.614,1
7968	start.hed	506.67,  -1.640641,-8.409,-6.034,1
8348	start.hed	504.01,  1.950446,11.218,-2.643,1
8798	start.hed	508.36,  1.312306,7.117,0.650,1
9538	start.hed	506.05,  -1.077447,-8.375,9.940,0
10254	start.hed	507.44,  -1.010042,-10.878,1.445,0
10574	start.hed	509.30,  -1.268996,-11.757,8.712,1
12945	start.hed	507.57,  0.431709,3.841,5.905,0
13016	start.hed	499.62,  3.006342,5.189,-6.443,1
13058	start.hed	511.74,  -1.377734,-2.305,2.547,1
13446	start.hed	508.89,  0.776109,-0.816,9.631,1
13839	start.hed	501.31,  1.856575,13.905,-2.651,0
14334	start.hed	515.74,  1.763980,4.991,-3.162,0
14588	start.hed	517.15,  -3.124923,1.081,-10.994,1
14595	start.hed	506.82,  -2.169217,-3.543,-2.883,0
15019	start.hed	507.01,  -0.633898,-5.337,5.267,1
