#LST
503	proj.img
4	start.hed	507.41,  -0.436940,-4.512,2.345,0
1088	start.hed	504.44,  2.694669,6.724,-10.500,1
1964	start.hed	509.27,  2.275673,10.719,-6.721,1
2762	start.hed	505.75,  1.630657,-0.595,-2.136,0
3608	start.hed	506.95,  3.125417,11.939,-2.108,0
4078	start.hed	507.50,  -2.277972,2.013,-0.493,1
4209	start.hed	514.65,  2.491827,1.610,-3.222,0
4900	start.hed	505.28,  1.243676,-4.892,-9.923,0
5618	start.hed	506.24,  1.678592,5.356,1.112,1
5882	start.hed	504.32,  2.416352,0.009,-0.616,1
7068	start.hed	504.11,  -2.190337,0.641,-1.185,1
7126	start.hed	501.00,  -2.435280,-7.722,-6.592,0
7596	start.hed	505.80,  1.523985,10.270,-1.618,0
7912	start.hed	510.65,  -1.570787,-7.030,-5.016,1
8254	start.hed	501.85,  -1.249526,1.091,-0.361,0
8264	start.hed	508.55,  2.276688,12.150,1.813,1
8995	start.hed	502.67,  -3.103943,-2.321,-2.684,0
10133	start.hed	504.83,  -1.974722,-9.576,-5.391,1
10905	start.hed	506.83,  -2.460122,-11.305,-9.285,0
11749	start.hed	518.15,  0.721781,4.936,9.772,1
12627	start.hed	510.97,  -2.125049,-7.932,-3.067,1
13081	start.hed	500.77,  0.479407,7.243,4.879,0
13783	start.hed	509.40,  -3.051362,4.015,-5.932,1
13715	start.hed	508.25,  -1.601145,-11.041,3.213,0
14082	start.hed	508.56,  -1.206904,-6.514,2.643,1
14254	start.hed	510.26,  -1.230973,-3.645,-1.755,1
14631	start.hed	504.88,  -1.961964,-3.233,-3.053,0
