#LST
678	proj.img
607	start.hed	506.47,  3.172234,-9.758,-7.582,0
1601	start.hed	507.10,  -1.676291,-0.034,-7.695,1
2170	start.hed	509.34,  2.940298,-3.427,-3.040,0
2948	start.hed	505.85,  1.336917,3.898,-4.301,0
4198	start.hed	502.55,  -1.896386,4.858,7.753,0
4699	start.hed	504.89,  -1.310961,-6.216,-4.693,0
6103	start.hed	505.89,  -0.595410,-5.148,4.638,0
6193	start.hed	501.66,  -0.215562,-11.291,7.677,1
6671	start.hed	507.55,  0.901311,3.963,0.078,0
6861	start.hed	513.00,  -0.765714,-3.145,7.667,0
7197	start.hed	503.23,  -2.941195,-3.216,-3.760,0
7584	start.hed	503.29,  -1.317697,-8.641,-5.995,1
8485	start.hed	503.61,  -2.338044,-3.022,-7.057,1
8857	start.hed	505.68,  0.545937,-3.418,6.796,1
9895	start.hed	504.32,  -2.812858,-0.611,-6.360,0
10166	start.hed	505.83,  -0.488948,2.492,12.848,1
10229	start.hed	507.56,  1.570483,3.004,-4.978,0
10552	start.hed	508.03,  -1.111013,-6.921,-10.679,1
11398	start.hed	500.76,  2.680427,-5.847,-12.771,1
12304	start.hed	513.97,  -1.618189,-4.995,-5.725,1
13181	start.hed	509.48,  -0.030378,3.003,5.996,0
13520	start.hed	509.48,  -0.030378,3.003,5.996,0
14121	start.hed	504.79,  0.465589,0.442,7.210,1
14594	start.hed	514.39,  -2.814907,-9.061,0.259,0
14918	start.hed	510.13,  -1.166059,-9.154,1.126,0
