#LST
92	proj.img
1417	start.hed	501.61,  -1.790977,2.253,-8.895,0
1881	start.hed	509.20,  -0.563515,13.672,-0.292,1
1807	start.hed	515.51,  -3.040995,-4.678,-4.445,1
3613	start.hed	506.57,  -1.445133,9.000,9.000,1
4578	start.hed	503.74,  -1.642060,0.944,8.673,1
6157	start.hed	508.23,  0.000645,8.955,2.009,0
6831	start.hed	504.42,  0.721031,-6.286,4.693,0
7009	start.hed	512.05,  0.577341,-12.778,1.630,0
9278	start.hed	497.12,  -1.157306,-8.448,0.611,0
9530	start.hed	510.38,  -2.288751,-2.646,-2.401,0
9692	start.hed	504.50,  -1.713095,-4.794,-6.264,0
10344	start.hed	508.26,  2.150031,10.772,5.854,1
10361	start.hed	507.63,  2.062174,0.393,-6.416,1
10399	start.hed	503.17,  -0.269852,-10.880,-3.795,1
10817	start.hed	507.20,  -1.134260,4.309,3.895,1
11708	start.hed	506.10,  -0.250027,6.785,-4.382,1
12921	start.hed	506.59,  1.956694,6.020,6.900,0
12960	start.hed	505.68,  -3.221989,8.387,0.566,1
14033	start.hed	506.51,  -2.473966,9.697,-5.858,0
14212	start.hed	509.92,  -2.692832,10.011,-0.847,1
14152	start.hed	507.55,  -2.716600,8.628,-6.078,0
14263	start.hed	506.31,  0.663164,-0.843,-12.628,0
14286	start.hed	514.62,  -1.220550,5.926,12.372,0
15285	start.hed	513.45,  1.512677,1.209,-9.749,1
15311	start.hed	505.42,  1.702426,2.548,-11.288,1
