#LST
563	proj.img
771	start.hed	503.15,  2.959331,-10.406,2.049,0
2073	start.hed	514.24,  -0.953465,-6.739,3.434,0
2782	start.hed	503.96,  1.641098,9.134,1.247,1
3744	start.hed	515.72,  -2.260431,-10.988,-6.731,0
3766	start.hed	510.97,  1.953260,-0.870,-4.812,1
4008	start.hed	507.61,  -2.528481,-13.716,-2.959,1
4805	start.hed	516.66,  1.158871,-8.428,10.386,0
7255	start.hed	506.85,  -2.768653,8.956,-6.377,1
7864	start.hed	507.11,  -2.655972,-2.804,-9.428,1
7896	start.hed	508.58,  -2.377092,-8.175,9.062,0
8187	start.hed	505.89,  -1.675764,-1.186,-4.081,1
8252	start.hed	506.69,  -1.813226,-11.079,-5.130,1
8407	start.hed	506.33,  0.200114,-1.698,12.120,1
9808	start.hed	503.40,  -2.935457,7.902,-9.439,1
9977	start.hed	505.99,  1.237687,5.972,-1.130,0
11447	start.hed	512.65,  -2.809736,4.151,-8.336,1
11553	start.hed	513.15,  -2.809818,4.164,-8.265,1
11999	start.hed	507.75,  2.169094,-12.991,-4.064,0
12275	start.hed	509.21,  -1.041720,-4.367,7.521,0
12285	start.hed	509.85,  2.556130,1.757,-2.474,0
12358	start.hed	507.90,  -1.042959,-2.482,6.890,0
13150	start.hed	505.49,  -0.400707,5.066,4.090,0
13160	start.hed	511.91,  1.108614,1.243,0.304,1
13489	start.hed	505.49,  -0.400707,5.066,4.090,0
13499	start.hed	511.91,  1.108614,1.243,0.304,1
13450	start.hed	504.59,  2.860422,7.617,11.624,0
13662	start.hed	500.71,  -1.743957,-6.924,2.103,0
13770	start.hed	509.64,  -0.239968,1.845,6.155,0
14914	start.hed	509.10,  -0.776651,-7.891,3.573,1
15247	start.hed	506.57,  -2.347559,-3.000,-7.296,1
