#LST
43	proj.img
1258	start.hed	508.39,  -0.503399,9.691,5.029,1
89	start.hed	519.84,  -1.737856,-2.711,5.288,1
534	start.hed	507.55,  -0.977997,3.737,-1.414,1
1400	start.hed	501.97,  -0.910991,-2.996,10.033,1
1565	start.hed	506.88,  2.122145,1.197,6.347,1
1820	start.hed	511.15,  -0.842303,8.223,0.459,1
1950	start.hed	506.95,  1.711959,8.314,3.170,0
2561	start.hed	508.29,  1.920210,-0.170,-0.120,0
3435	start.hed	505.47,  -2.613849,8.353,-7.332,0
4184	start.hed	511.15,  3.031187,6.339,-6.132,0
6001	start.hed	516.59,  0.509588,9.197,-4.449,1
5951	start.hed	510.38,  -1.362034,-1.083,5.213,1
6356	start.hed	507.97,  -2.542742,-5.531,0.036,1
8495	start.hed	505.71,  1.984310,-9.471,-10.516,0
9524	start.hed	512.03,  -2.358361,4.694,11.007,0
9552	start.hed	523.14,  -0.886351,-10.020,-9.262,0
9807	start.hed	510.45,  -2.697889,-1.625,-6.762,0
9890	start.hed	512.62,  -1.373206,3.982,-2.476,0
10201	start.hed	507.31,  1.476905,-1.327,9.525,0
10866	start.hed	512.01,  -2.503576,5.851,-5.579,0
11366	start.hed	506.89,  -2.127589,-9.183,2.994,1
11787	start.hed	500.35,  2.507475,-0.165,-3.436,1
13168	start.hed	504.42,  -1.631315,-1.765,-8.726,0
13217	start.hed	514.18,  -0.335103,-10.000,-10.000,0
13507	start.hed	504.42,  -1.631315,-1.765,-8.726,0
13556	start.hed	514.18,  -0.335103,-10.000,-10.000,0
13730	start.hed	508.60,  1.052426,5.100,-1.455,1
14202	start.hed	503.80,  2.269866,-11.484,-3.912,0
14282	start.hed	506.84,  -0.957953,-9.186,-9.528,0
15324	start.hed	507.66,  2.080889,2.614,-8.347,1
