#LST
699	proj.img
866	start.hed	510.16,  -0.586864,-7.115,-9.040,1
1583	start.hed	506.65,  -1.592682,-3.958,-1.461,0
2325	start.hed	508.42,  0.184626,1.991,7.009,1
2514	start.hed	505.29,  0.473504,-3.247,11.921,1
3538	start.hed	513.35,  2.863129,-10.898,2.949,0
3867	start.hed	506.40,  0.104243,-0.336,4.902,0
3975	start.hed	505.92,  0.799195,7.074,12.520,1
5379	start.hed	503.61,  -0.193116,-9.827,-10.675,1
5968	start.hed	504.46,  -0.322951,-3.973,7.555,0
6206	start.hed	508.41,  -3.091644,-4.179,-3.943,1
6938	start.hed	503.26,  -1.679179,-5.973,-1.377,1
6832	start.hed	509.63,  -2.108131,0.073,-2.834,0
7105	start.hed	506.76,  -2.029043,-5.424,-0.949,1
7597	start.hed	503.82,  -2.833622,5.376,-4.837,0
7799	start.hed	509.19,  -0.001599,2.028,5.006,0
8059	start.hed	514.53,  2.808545,7.106,-2.751,0
8487	start.hed	510.80,  -0.660108,-5.062,-0.099,0
8492	start.hed	501.25,  -2.988021,12.164,7.816,1
8502	start.hed	501.70,  1.231920,7.655,0.744,0
10525	start.hed	505.06,  1.529511,-9.980,-8.655,1
10668	start.hed	502.33,  -2.059941,0.156,-7.257,0
10602	start.hed	504.54,  -2.993520,1.251,-3.000,1
11065	start.hed	514.53,  2.808545,7.106,-2.751,0
11544	start.hed	507.44,  2.442767,7.670,-1.929,0
12967	start.hed	500.81,  2.307451,3.405,8.713,1
13628	start.hed	506.29,  0.983774,5.350,5.595,0
15029	start.hed	507.05,  -1.373471,-7.415,3.135,0
