#LST
684	proj.img
1502	start.hed	501.56,  -0.632370,-2.443,5.868,1
1533	start.hed	507.67,  2.247970,4.896,-8.371,0
1547	start.hed	506.59,  2.192866,4.293,-5.586,1
2365	start.hed	502.52,  1.397507,9.554,7.254,1
2547	start.hed	512.55,  2.106516,5.810,-3.660,1
3549	start.hed	516.58,  -2.935926,-0.807,-8.923,0
4147	start.hed	511.77,  1.050530,4.608,1.945,0
4606	start.hed	501.53,  -1.737809,-8.610,11.380,0
4671	start.hed	506.50,  2.557984,2.945,-4.909,1
4945	start.hed	508.90,  -1.243337,-3.223,5.861,0
6380	start.hed	512.03,  -2.366226,-2.880,-2.952,1
6767	start.hed	509.21,  -2.438007,-1.672,-7.511,1
7934	start.hed	501.08,  0.438634,6.523,2.838,1
7762	start.hed	503.82,  -0.288415,-5.631,11.278,1
8029	start.hed	509.38,  2.786027,2.623,-5.715,0
8773	start.hed	508.48,  -2.890769,-2.704,-5.362,0
8872	start.hed	502.27,  0.407482,-7.027,12.178,1
9004	start.hed	505.60,  -1.020546,-4.005,4.752,1
9144	start.hed	505.41,  -0.858871,-7.847,1.858,1
9479	start.hed	511.98,  -1.020410,-5.235,4.217,0
10739	start.hed	505.24,  1.286165,0.191,10.928,1
11033	start.hed	509.38,  2.786027,2.623,-5.715,0
11504	start.hed	502.21,  -3.166247,-0.929,-7.764,0
11615	start.hed	502.21,  -3.168625,-1.055,-7.717,0
11661	start.hed	510.05,  -1.250781,-4.119,8.144,0
12014	start.hed	511.48,  -3.140869,-2.001,-4.992,0
11887	start.hed	509.74,  -2.513407,-3.264,-5.707,1
11901	start.hed	512.87,  0.872310,4.785,2.155,0
12141	start.hed	511.48,  -3.140869,-2.001,-4.992,0
13201	start.hed	501.34,  -2.041189,-8.026,3.473,0
13540	start.hed	501.34,  -2.041189,-8.026,3.473,0
14463	start.hed	505.87,  -3.039545,1.003,-4.748,1
