#LST
572	proj.img
680	start.hed	510.03,  2.178989,0.346,-1.462,0
873	start.hed	501.27,  -2.419308,-2.710,1.583,0
922	start.hed	501.24,  1.829603,11.090,-8.033,1
993	start.hed	508.26,  -0.732605,-3.290,3.613,1
1123	start.hed	507.80,  -1.644794,-8.800,0.144,0
1402	start.hed	502.54,  2.313953,-11.331,-9.044,0
2828	start.hed	504.02,  2.089941,1.273,-4.452,0
2843	start.hed	516.19,  -0.288531,-3.946,9.529,0
2924	start.hed	506.47,  -3.269051,1.222,-6.314,1
3839	start.hed	506.16,  -1.916725,-2.298,1.109,1
4135	start.hed	514.33,  -1.260391,-2.954,-2.248,1
4535	start.hed	505.40,  -1.720277,-0.828,4.709,0
5219	start.hed	501.75,  -1.936482,-2.202,0.745,1
6106	start.hed	517.30,  1.108754,4.860,-2.518,0
6510	start.hed	504.26,  -2.871228,2.637,-11.011,0
6449	start.hed	513.75,  -2.964468,-1.016,-3.366,0
6791	start.hed	511.05,  2.643341,5.813,-7.236,0
7803	start.hed	507.52,  -3.104678,1.617,-4.900,1
8795	start.hed	505.71,  1.985531,4.775,-4.115,0
8849	start.hed	507.60,  -0.256183,2.531,1.698,0
9047	start.hed	511.52,  -2.547803,10.132,-3.048,0
9091	start.hed	504.65,  0.274919,1.257,5.304,1
9385	start.hed	514.04,  -0.257653,-4.356,8.745,0
10113	start.hed	508.27,  1.650258,4.906,-1.276,0
10894	start.hed	504.74,  3.164179,-1.450,-3.708,0
10909	start.hed	509.44,  0.263798,1.589,-6.096,0
10959	start.hed	511.69,  1.596492,3.237,-0.040,0
10984	start.hed	511.65,  -1.043019,-3.838,2.549,0
11266	start.hed	502.22,  2.548913,3.013,-3.411,1
11867	start.hed	507.77,  1.233770,4.480,1.598,0
12050	start.hed	499.76,  0.929121,3.397,1.863,0
12177	start.hed	499.76,  0.929121,3.397,1.863,0
13597	start.hed	507.65,  -1.572416,-4.874,1.008,0
13843	start.hed	505.93,  -1.866510,12.293,7.879,0
14243	start.hed	513.25,  0.643279,2.297,4.760,1
15200	start.hed	507.66,  -1.462004,-5.326,3.209,0
