#LST
536	proj.img
703	start.hed	507.45,  -1.348536,-6.312,-0.916,0
1091	start.hed	509.16,  -2.592518,3.923,-4.118,0
112	start.hed	508.79,  2.378174,2.428,-6.395,1
125	start.hed	515.52,  -0.186751,4.326,7.898,1
839	start.hed	503.95,  2.105097,3.389,1.586,0
1428	start.hed	508.84,  -2.478219,-5.139,-1.886,1
1530	start.hed	511.75,  -0.634025,-6.103,3.937,0
2476	start.hed	507.68,  -1.388248,-2.604,3.557,1
3416	start.hed	504.40,  -2.107062,-1.814,-7.406,0
3825	start.hed	512.19,  -0.982042,0.146,5.735,1
4049	start.hed	507.50,  -0.529122,3.977,4.678,1
4175	start.hed	503.80,  -0.593462,-3.038,3.110,1
4707	start.hed	506.14,  1.489041,5.927,1.979,0
5855	start.hed	506.77,  -1.202590,1.290,5.595,1
7272	start.hed	505.61,  1.346963,5.112,-1.328,0
7511	start.hed	506.50,  0.884909,-11.016,-7.671,0
7795	start.hed	507.07,  0.812084,10.638,-2.138,1
8950	start.hed	510.11,  -1.711206,-6.590,3.283,1
9288	start.hed	504.94,  -1.909343,-8.551,-4.918,0
9503	start.hed	503.67,  2.978280,-3.349,-4.929,1
9716	start.hed	510.31,  0.236371,0.495,9.334,0
9970	start.hed	507.50,  -0.559566,2.125,3.763,1
10343	start.hed	506.98,  1.307963,5.150,5.208,0
11482	start.hed	511.06,  -0.326295,-3.993,5.152,0
11590	start.hed	510.44,  -0.324701,-3.779,5.229,0
11890	start.hed	500.61,  -2.660497,-6.796,-8.643,0
12521	start.hed	504.12,  0.211017,2.434,4.712,1
12551	start.hed	503.08,  -0.766823,3.061,12.055,1
13167	start.hed	507.15,  -1.034595,-0.568,2.000,1
13506	start.hed	507.15,  -1.034595,-0.568,2.000,1
13687	start.hed	508.34,  0.538451,3.715,3.305,1
13924	start.hed	514.38,  -0.173438,0.705,6.633,0
14048	start.hed	503.86,  2.968762,-1.532,-5.091,1
14332	start.hed	509.54,  -2.103609,0.893,-4.048,0
14931	start.hed	512.92,  -2.956177,-3.091,-4.900,1
