#LST
214	proj.img
1014	start.hed	505.74,  -0.635818,1.630,5.010,1
1144	start.hed	502.87,  -0.376631,-2.485,4.591,1
203	start.hed	503.36,  -2.146907,-5.600,-1.816,0
2217	start.hed	509.04,  -3.009437,11.943,-2.374,0
2513	start.hed	516.77,  -2.981718,11.715,4.071,1
3097	start.hed	506.44,  2.754608,6.703,-3.658,0
3476	start.hed	506.11,  2.199957,2.087,-0.917,0
3510	start.hed	504.85,  -0.341284,2.263,4.425,1
3669	start.hed	511.90,  2.376307,3.462,-9.000,1
3834	start.hed	518.17,  2.626904,-0.988,-3.733,0
4353	start.hed	518.38,  -2.844942,-1.759,-10.708,0
4530	start.hed	506.68,  -2.456047,-7.719,-5.621,1
5330	start.hed	507.08,  0.029326,7.465,-9.546,1
5360	start.hed	508.67,  2.242859,11.546,0.477,1
5780	start.hed	505.86,  -1.828267,-3.282,-3.825,0
6080	start.hed	505.39,  -0.780454,10.278,9.235,0
6616	start.hed	503.76,  0.464868,-1.025,4.870,0
8224	start.hed	501.31,  2.010637,4.558,1.552,0
8542	start.hed	507.00,  -1.647445,8.875,10.953,1
9354	start.hed	508.44,  0.621333,4.094,4.680,0
10623	start.hed	521.41,  2.487816,13.989,-0.526,0
11423	start.hed	502.15,  -0.672252,-3.467,1.004,1
11565	start.hed	515.70,  0.590443,4.789,1.500,1
12344	start.hed	513.03,  -0.195515,2.022,7.362,1
12701	start.hed	503.62,  -2.096309,-5.927,-5.841,0
12743	start.hed	502.02,  2.126323,5.133,-2.354,0
13678	start.hed	506.78,  -2.107330,-3.935,-11.706,0
13969	start.hed	509.85,  3.110110,10.092,6.183,0
14216	start.hed	504.00,  -2.599796,-1.468,-6.268,0
14824	start.hed	507.33,  1.403245,-10.000,-10.000,1
