#LST
589	proj.img
347	start.hed	506.08,  -1.164564,-1.753,8.882,1
68	start.hed	508.07,  -1.524006,-3.349,-1.895,0
148	start.hed	517.50,  0.870366,2.870,2.648,0
1942	start.hed	511.52,  0.170025,-0.170,4.037,1
2019	start.hed	517.75,  -1.732293,-6.026,0.477,1
2604	start.hed	505.53,  1.768060,9.789,7.815,0
3004	start.hed	506.91,  -2.133136,-4.127,-3.278,1
3776	start.hed	508.93,  2.161156,0.542,-8.340,1
4092	start.hed	507.80,  2.769693,7.819,8.848,0
3950	start.hed	511.93,  2.339730,-1.334,-8.599,1
4344	start.hed	506.06,  -0.672097,8.712,0.421,1
4686	start.hed	506.05,  2.396691,1.884,-4.936,1
5115	start.hed	512.86,  0.323536,-5.226,11.499,0
6081	start.hed	509.60,  0.427847,-6.745,-8.352,0
5949	start.hed	506.32,  3.088728,-2.599,-5.076,1
6738	start.hed	499.07,  1.917437,8.373,1.609,1
6603	start.hed	510.27,  -2.758218,2.782,-5.734,0
8834	start.hed	511.62,  -1.364059,-6.063,2.020,0
9444	start.hed	506.11,  -1.784712,-3.734,-0.251,0
9647	start.hed	508.72,  -1.509788,-6.438,-0.957,0
10436	start.hed	508.42,  -2.061876,-6.755,-0.219,1
10613	start.hed	508.74,  2.682508,0.735,-3.874,1
10727	start.hed	507.12,  2.732788,11.573,-5.744,0
10921	start.hed	512.72,  1.364600,6.318,5.727,1
10828	start.hed	506.63,  -2.783747,1.005,-5.695,0
11202	start.hed	511.42,  1.163961,2.716,-10.607,1
11448	start.hed	508.09,  0.911760,3.173,4.859,0
11554	start.hed	510.48,  0.912560,3.107,4.826,0
11933	start.hed	504.78,  -0.223116,0.281,4.685,1
11979	start.hed	501.17,  0.022778,-2.489,3.490,1
12883	start.hed	508.60,  2.627182,-2.400,-5.244,1
13054	start.hed	504.75,  -2.510781,-1.840,-5.612,1
13122	start.hed	501.99,  -1.265442,-6.826,3.781,1
13962	start.hed	506.32,  -2.795636,-0.280,-8.028,1
13862	start.hed	510.56,  -1.678492,-5.485,-1.824,0
14040	start.hed	510.68,  -2.758116,-7.309,-4.545,1
