#LST
126	proj.img
590	start.hed	510.93,  -2.435953,-6.335,0.711,1
496	start.hed	502.98,  -0.678582,6.260,9.702,1
563	start.hed	509.48,  -1.527851,-2.869,6.339,1
574	start.hed	509.67,  -1.570409,-7.940,-9.011,0
1621	start.hed	504.55,  1.057917,2.783,-10.024,1
2429	start.hed	504.63,  2.694874,-1.413,7.382,0
2450	start.hed	508.41,  1.056151,4.089,9.153,0
2223	start.hed	506.74,  0.621564,7.280,-5.657,1
3112	start.hed	512.76,  -0.622626,-8.592,0.115,0
4581	start.hed	501.56,  -0.820231,10.347,9.238,0
4958	start.hed	508.57,  -1.212481,-3.340,8.284,1
5509	start.hed	510.14,  0.491910,7.097,-0.119,1
5555	start.hed	509.50,  -0.959646,10.165,10.502,0
6520	start.hed	512.51,  1.561115,1.277,14.485,0
6542	start.hed	498.72,  2.421963,-10.470,-2.917,1
6692	start.hed	504.14,  -2.506124,-9.242,1.145,1
7298	start.hed	503.96,  -3.282146,11.409,-4.708,0
7364	start.hed	503.39,  1.796659,5.954,4.216,0
8114	start.hed	503.74,  0.918132,0.827,7.506,0
8630	start.hed	508.45,  2.355548,10.600,5.341,0
8902	start.hed	504.51,  2.972855,-5.964,-0.491,0
9526	start.hed	507.07,  2.548043,-0.072,-7.286,1
10896	start.hed	506.16,  -1.046044,1.881,6.122,0
11120	start.hed	503.74,  0.918132,0.827,7.506,0
11389	start.hed	510.17,  -0.103322,11.364,2.206,1
13203	start.hed	513.09,  -2.829230,3.528,-5.970,0
13345	start.hed	501.59,  -0.457083,3.418,6.788,1
13542	start.hed	513.09,  -2.829230,3.528,-5.970,0
14632	start.hed	509.55,  -0.465737,-7.162,-4.965,0
14848	start.hed	508.81,  -2.109674,-4.103,-2.948,0
15224	start.hed	507.63,  0.308255,-8.155,11.164,0
