#LST
501	proj.img
23	start.hed	518.29,  -1.485234,-3.883,-0.364,1
500	start.hed	501.56,  -2.088039,-4.725,-6.351,1
3182	start.hed	508.75,  1.527275,6.051,0.152,1
3364	start.hed	512.87,  1.312670,9.331,4.640,1
3747	start.hed	510.31,  1.171929,4.486,4.521,0
4256	start.hed	506.66,  -1.471087,3.421,13.894,0
4118	start.hed	519.22,  -0.736172,-4.863,6.300,1
6089	start.hed	513.81,  1.454930,5.766,-1.641,0
6147	start.hed	502.13,  0.477997,7.312,4.732,0
6679	start.hed	505.57,  0.555461,2.485,0.436,0
6560	start.hed	507.37,  2.085458,-0.485,6.727,1
7398	start.hed	504.49,  2.734461,8.164,-9.767,0
7923	start.hed	500.82,  -2.364941,-8.551,9.070,1
8072	start.hed	511.12,  -0.586661,-11.155,3.379,1
8190	start.hed	508.90,  0.992718,8.542,4.828,0
9115	start.hed	504.15,  -0.320402,-3.254,3.422,1
9685	start.hed	501.74,  -1.549651,-2.681,3.627,0
10101	start.hed	504.12,  1.421454,11.372,4.170,1
10295	start.hed	503.98,  2.965338,3.977,-5.701,1
11078	start.hed	511.12,  -0.586661,-11.155,3.379,1
11520	start.hed	502.54,  0.133975,0.820,5.127,0
11709	start.hed	504.07,  1.058781,-0.289,2.956,1
11631	start.hed	502.83,  0.127372,0.651,5.053,0
12487	start.hed	509.34,  -2.817725,-2.933,4.820,0
12517	start.hed	508.31,  -1.948448,-0.065,-0.102,0
12533	start.hed	504.82,  -1.301011,0.609,0.688,1
12813	start.hed	508.53,  -1.952803,-0.112,-0.051,0
13238	start.hed	507.24,  -0.303721,-8.258,-6.685,0
13577	start.hed	507.24,  -0.303721,-8.258,-6.685,0
14912	start.hed	511.80,  2.286067,6.618,-2.451,1
