#LST
623	proj.img
414	start.hed	503.69,  -1.051143,-12.752,5.398,1
927	start.hed	503.86,  0.464697,-12.350,0.356,1
204	start.hed	506.11,  -0.058236,-7.409,4.072,1
3718	start.hed	505.58,  3.062450,6.148,-6.475,0
4218	start.hed	513.82,  -2.630385,-0.038,-3.411,0
4274	start.hed	513.90,  -1.281607,-3.588,1.459,0
5430	start.hed	508.83,  0.227711,0.431,6.999,1
5915	start.hed	506.87,  -2.487067,-2.036,-5.048,1
7300	start.hed	505.64,  0.596100,6.582,-5.325,0
7446	start.hed	513.36,  0.870178,3.815,6.104,1
7599	start.hed	509.32,  -1.851495,-11.384,-1.712,0
8810	start.hed	513.50,  -0.322738,1.307,8.336,0
8640	start.hed	516.66,  -0.784442,-4.166,3.717,1
9281	start.hed	503.46,  -1.335756,-6.292,-0.274,1
10596	start.hed	511.76,  1.628628,3.739,4.405,1
11264	start.hed	513.29,  2.806737,4.037,-4.087,1
12396	start.hed	505.65,  2.742679,3.703,-2.983,1
12545	start.hed	501.65,  2.914433,5.892,9.150,1
12841	start.hed	502.48,  2.921947,5.814,8.859,1
13124	start.hed	507.44,  2.146067,3.039,-5.872,1
13871	start.hed	514.10,  2.203497,5.143,2.923,1
14346	start.hed	513.69,  2.238976,3.246,0.911,1
14607	start.hed	508.66,  0.263488,6.877,11.454,0
14651	start.hed	507.42,  -0.174548,-3.208,0.964,0
15226	start.hed	504.80,  0.902334,9.739,5.028,1
15050	start.hed	506.51,  0.835280,4.653,13.014,1
15064	start.hed	506.94,  0.207368,-8.260,11.093,1
15078	start.hed	509.79,  2.268811,12.862,0.024,0
15141	start.hed	510.60,  2.883573,-0.136,-3.023,1
