#LST
565	proj.img
628	start.hed	510.60,  0.410817,-9.034,8.243,1
957	start.hed	499.99,  -0.178418,1.229,6.162,1
1521	start.hed	512.74,  -0.970683,-4.533,-0.390,1
1707	start.hed	507.81,  -1.217292,-4.918,1.873,1
2354	start.hed	508.69,  2.272825,-6.828,-11.536,0
2635	start.hed	504.35,  1.558687,0.578,9.805,0
3330	start.hed	518.75,  0.130109,0.375,4.691,0
3404	start.hed	511.31,  1.654981,4.698,-8.557,0
4165	start.hed	507.86,  2.155336,4.264,-3.763,0
4665	start.hed	532.88,  2.413872,11.454,-8.276,1
6017	start.hed	509.18,  -0.961090,-2.554,2.441,0
6027	start.hed	501.04,  0.363499,1.052,5.801,1
5919	start.hed	511.52,  -0.623175,-3.535,-1.239,1
6214	start.hed	508.62,  -2.292581,-4.271,-0.702,0
6801	start.hed	513.02,  0.185043,3.569,2.952,0
7493	start.hed	501.21,  -0.697560,-7.963,2.129,1
8298	start.hed	502.94,  0.641869,-12.686,2.614,0
8499	start.hed	510.31,  0.341479,-0.390,7.027,1
8801	start.hed	507.24,  1.413810,4.793,2.313,0
9006	start.hed	511.23,  -0.723993,-5.736,10.382,0
9231	start.hed	505.66,  2.538586,-2.578,-6.897,0
9255	start.hed	503.63,  1.616249,5.668,-1.154,0
9863	start.hed	503.35,  2.045187,8.243,-4.521,0
11252	start.hed	506.39,  -2.777539,-2.837,-7.469,1
11719	start.hed	511.52,  2.793913,1.489,-8.067,0
12365	start.hed	506.86,  -0.926917,-5.108,0.855,1
12405	start.hed	504.63,  2.614161,4.668,-1.303,1
12860	start.hed	500.95,  -0.320305,-0.784,11.259,0
14319	start.hed	503.70,  -0.866857,2.365,-0.318,0
