#LST
673	proj.img
226	start.hed	512.41,  1.398615,7.129,-6.079,0
1944	start.hed	519.63,  1.050317,3.327,2.397,1
2935	start.hed	509.04,  -2.783524,-12.477,-4.589,0
3373	start.hed	507.51,  -0.606291,1.697,4.508,1
4285	start.hed	508.31,  0.779974,-2.152,7.235,1
5436	start.hed	511.39,  0.778477,1.894,4.229,1
5655	start.hed	506.90,  -1.499464,-2.032,-6.299,1
5603	start.hed	510.56,  -2.085466,-8.358,8.036,0
6251	start.hed	509.83,  0.450944,6.377,3.821,1
5820	start.hed	504.00,  2.400103,-12.143,-8.148,0
6031	start.hed	509.17,  -0.293314,0.369,6.840,0
6916	start.hed	502.62,  0.051213,8.419,-1.986,0
7397	start.hed	507.35,  2.518061,-1.026,-3.619,0
7639	start.hed	571.47,  0.396677,6.522,3.700,0
7674	start.hed	506.11,  -2.961842,3.747,-6.138,1
8813	start.hed	507.43,  0.270459,6.139,4.106,0
10498	start.hed	503.39,  -0.688282,-0.090,4.052,1
11703	start.hed	506.41,  -2.054522,-3.813,8.899,1
11623	start.hed	506.26,  -1.546188,-7.025,-11.839,0
12625	start.hed	505.31,  -0.379921,-6.265,1.253,1
13175	start.hed	510.47,  -2.386611,-6.515,1.474,1
13514	start.hed	510.47,  -2.386611,-6.515,1.474,1
13936	start.hed	558.96,  -0.337287,-8.021,3.816,1
14654	start.hed	514.75,  -1.854213,-2.876,-5.712,1
14828	start.hed	515.90,  -1.852957,-2.892,-5.720,1
