#LST
146	proj.img
421	start.hed	508.08,  -0.993764,-10.024,8.794,0
899	start.hed	505.56,  -2.480473,7.614,-4.303,1
1158	start.hed	505.58,  -2.236438,1.756,-12.364,1
1741	start.hed	508.53,  1.241565,5.686,-5.808,0
3236	start.hed	511.14,  -1.100801,-1.512,5.344,0
4807	start.hed	506.66,  1.512641,9.909,1.173,0
4953	start.hed	516.83,  2.986988,-0.993,-4.900,0
5402	start.hed	498.93,  1.175063,2.534,-0.621,0
6404	start.hed	505.25,  1.746072,6.641,-0.621,1
6741	start.hed	504.55,  -0.020079,-6.503,-12.616,1
6556	start.hed	503.13,  -1.126338,-0.490,2.749,0
7263	start.hed	508.36,  0.996958,6.515,6.900,1
7338	start.hed	509.94,  1.185332,7.368,0.869,1
7568	start.hed	506.87,  -0.549680,-2.917,7.264,0
9212	start.hed	505.82,  1.666196,6.838,2.012,1
10647	start.hed	505.60,  0.797823,-4.687,-13.473,0
10999	start.hed	505.79,  0.505314,7.623,9.062,0
11214	start.hed	504.46,  3.043720,-6.090,-4.655,0
11809	start.hed	508.73,  -1.595333,-2.976,-0.927,0
12538	start.hed	503.17,  -2.982675,-3.490,-2.552,0
12673	start.hed	501.00,  -2.369262,-11.837,-0.114,0
12834	start.hed	503.00,  -2.981483,-3.485,-2.491,0
15041	start.hed	507.60,  -2.183628,-1.107,11.053,0
15111	start.hed	506.73,  -0.434086,-8.892,-10.794,1
15179	start.hed	503.53,  0.615656,-2.139,7.628,1
