#LST
448	proj.img
466	start.hed	502.11,  -1.565923,-5.015,-1.252,0
863	start.hed	499.61,  1.893466,5.719,1.274,1
1528	start.hed	510.09,  -1.072253,-3.276,5.387,0
2607	start.hed	531.39,  0.933016,9.072,11.299,1
2743	start.hed	524.61,  0.243440,0.027,6.009,0
3478	start.hed	515.04,  -1.447984,-6.228,2.699,0
5819	start.hed	499.72,  -2.007939,-9.957,-0.850,1
6433	start.hed	502.08,  0.559869,3.619,6.917,0
6814	start.hed	510.49,  0.910321,4.472,10.865,1
6730	start.hed	504.13,  -1.746298,-9.012,8.848,0
7187	start.hed	502.89,  -1.772015,-2.577,11.208,1
7254	start.hed	504.58,  0.705786,-2.300,3.174,1
7626	start.hed	502.74,  -1.988208,-0.594,1.131,0
8057	start.hed	516.76,  -2.419494,-9.057,-3.335,0
9453	start.hed	513.38,  -1.696949,-7.964,0.211,0
10178	start.hed	504.12,  0.565489,-5.315,9.228,0
10227	start.hed	506.26,  -2.876517,-5.588,-6.465,0
11062	start.hed	516.76,  -2.419494,-9.057,-3.335,0
11010	start.hed	495.37,  2.700856,0.370,11.448,1
11886	start.hed	505.45,  0.688895,2.918,4.251,0
11893	start.hed	504.94,  0.688886,5.418,1.190,0
12464	start.hed	505.81,  -0.869919,-4.958,5.316,1
12740	start.hed	511.80,  -1.949152,-11.614,-6.976,0
13762	start.hed	510.51,  -1.047283,-3.955,6.143,0
14248	start.hed	508.66,  -1.674861,-3.050,-2.494,1
15108	start.hed	505.12,  0.356401,-6.198,-6.444,0
