#LST
42	proj.img
179	start.hed	505.20,  -1.570574,-0.994,-6.995,0
1545	start.hed	505.00,  -0.329599,-7.322,-7.216,1
1702	start.hed	513.39,  2.042806,-3.845,-5.110,1
1843	start.hed	506.40,  -1.221207,6.794,9.721,1
2027	start.hed	512.89,  -2.995986,9.159,-7.482,0
2068	start.hed	510.12,  0.924052,-0.179,10.317,0
2103	start.hed	507.44,  2.956497,-5.469,1.048,0
2592	start.hed	510.29,  -1.352517,-0.690,-12.360,0
3693	start.hed	507.18,  -0.743304,-6.139,-4.867,1
4040	start.hed	518.69,  -1.049729,7.550,11.680,1
4312	start.hed	513.47,  -2.756659,-10.560,-7.603,1
4321	start.hed	509.84,  0.153165,-3.651,0.981,1
4449	start.hed	511.26,  2.964060,4.154,-0.847,0
5972	start.hed	503.40,  1.606946,9.388,9.264,0
6012	start.hed	510.04,  -1.212154,-5.177,-2.919,0
6739	start.hed	502.88,  -2.431613,-0.911,2.625,0
7681	start.hed	509.31,  0.897792,-8.427,0.084,1
7865	start.hed	502.34,  -0.436053,-7.843,-10.166,0
8551	start.hed	505.14,  -3.004450,2.324,4.089,0
8525	start.hed	507.57,  -1.061737,-1.958,-12.313,0
9711	start.hed	501.28,  -2.238571,7.593,-5.318,1
9769	start.hed	511.99,  2.206174,-1.645,-6.776,1
10025	start.hed	508.22,  -1.041778,-4.599,-12.004,0
10370	start.hed	512.65,  0.369665,11.527,8.254,1
10987	start.hed	511.42,  -1.303573,-7.064,-5.265,0
11357	start.hed	505.71,  2.381712,2.216,0.507,0
11962	start.hed	507.35,  -1.122471,-8.732,-11.073,1
13916	start.hed	510.93,  1.514633,0.606,-10.032,1
15335	start.hed	506.18,  -0.677049,11.789,5.726,0
