#LST
692	proj.img
917	start.hed	505.15,  -1.646994,-4.537,-5.171,1
2262	start.hed	509.43,  -0.760346,-2.315,0.804,0
2484	start.hed	507.85,  2.795374,0.411,-0.840,0
3716	start.hed	514.77,  1.683054,6.762,-10.207,1
3997	start.hed	504.93,  0.815083,3.455,-2.482,1
4821	start.hed	516.25,  0.611097,4.466,1.973,0
4884	start.hed	505.61,  2.324918,1.928,1.867,0
6224	start.hed	505.84,  1.289423,9.216,0.482,0
6156	start.hed	504.25,  2.595507,-4.693,-2.140,0
8031	start.hed	512.82,  1.317719,6.238,-1.796,0
8244	start.hed	505.67,  -0.175568,-1.658,7.710,0
8405	start.hed	502.61,  0.382261,0.130,8.052,1
8777	start.hed	512.32,  -2.525454,-2.239,-4.164,1
8652	start.hed	509.15,  2.744586,-1.197,-5.352,0
10045	start.hed	505.77,  2.930539,-4.289,-7.617,0
9965	start.hed	508.19,  0.086727,-1.384,5.686,0
10639	start.hed	501.61,  3.146201,4.135,-2.972,1
10721	start.hed	511.85,  0.262598,-0.941,10.818,1
11035	start.hed	512.82,  1.317719,6.238,-1.796,0
11312	start.hed	503.62,  -0.533553,-1.416,3.726,0
11408	start.hed	510.91,  -2.688797,-1.688,-2.592,0
12423	start.hed	508.71,  0.524318,5.237,-0.274,0
14567	start.hed	508.42,  -0.543074,-6.985,12.689,1
14927	start.hed	501.04,  -0.233510,-1.358,1.915,1
15038	start.hed	507.16,  0.082119,-1.662,3.583,1
