#LST
703	proj.img
1245	start.hed	514.78,  2.042804,4.502,-0.994,0
61	start.hed	518.98,  -2.718684,-5.416,-0.756,1
1612	start.hed	509.47,  -1.365410,-0.196,-10.498,0
2772	start.hed	499.21,  2.722401,-11.543,-7.918,0
2949	start.hed	503.13,  1.249376,1.823,7.523,0
2883	start.hed	507.11,  1.237389,-0.039,6.506,0
4988	start.hed	503.54,  1.762895,2.434,12.139,0
5885	start.hed	508.34,  2.005844,1.465,-10.619,1
6889	start.hed	506.56,  0.988681,-1.275,9.426,0
6863	start.hed	503.21,  -1.572285,-8.006,-11.999,1
7071	start.hed	505.95,  2.234767,8.244,0.362,0
7587	start.hed	508.59,  -2.860056,4.148,-2.792,0
7819	start.hed	510.16,  -1.282157,0.711,9.797,0
8165	start.hed	499.83,  -2.994985,-10.000,9.000,0
8149	start.hed	512.74,  2.453469,-10.393,-8.726,0
8368	start.hed	503.80,  -2.720625,5.391,-6.674,0
8597	start.hed	509.66,  1.572009,1.974,12.001,0
9382	start.hed	505.25,  0.845573,-0.696,8.554,0
9537	start.hed	504.00,  2.325677,3.226,-4.420,1
9550	start.hed	503.66,  2.148918,8.863,3.720,1
10587	start.hed	501.90,  1.944361,0.093,-4.513,0
10843	start.hed	505.58,  -2.689569,-5.857,-0.652,1
11155	start.hed	512.74,  2.453469,-10.393,-8.726,0
11171	start.hed	499.83,  -2.994985,-10.000,9.000,0
12966	start.hed	504.62,  2.437073,-7.828,-6.516,1
14691	start.hed	509.27,  1.079783,9.352,-9.652,1
14866	start.hed	510.10,  1.079084,9.313,-9.545,1
