#LST
263	proj.img
1335	start.hed	511.16,  -2.048719,-8.141,-6.881,0
1731	start.hed	504.07,  0.719627,1.290,7.000,0
1833	start.hed	510.01,  -0.059901,0.160,5.823,0
3876	start.hed	510.22,  -1.884661,-6.208,4.739,1
5707	start.hed	502.85,  1.033359,4.496,7.989,0
6051	start.hed	507.98,  -2.772920,1.290,-2.786,0
6179	start.hed	505.12,  -0.078714,-0.502,2.623,0
6712	start.hed	502.56,  2.554065,-0.507,-6.519,1
7590	start.hed	505.47,  -0.482278,2.437,8.969,1
8471	start.hed	506.77,  2.881404,3.624,-4.331,0
8513	start.hed	503.39,  1.802973,7.132,-9.555,1
8986	start.hed	507.92,  1.239550,8.608,2.862,0
9531	start.hed	505.47,  0.454411,5.370,3.306,1
10036	start.hed	505.32,  2.822460,-2.320,-7.436,1
10396	start.hed	507.17,  3.209431,-1.545,-5.724,1
10310	start.hed	507.79,  2.945282,3.624,-6.950,1
12449	start.hed	514.25,  -1.570796,-7.000,-5.000,1
13239	start.hed	498.03,  0.832175,-4.619,9.244,1
13578	start.hed	498.03,  0.832175,-4.619,9.244,1
13820	start.hed	515.16,  1.621766,8.841,-7.615,1
14404	start.hed	507.49,  -1.923803,-11.478,-4.785,0
14711	start.hed	503.87,  1.921698,3.138,1.463,0
14808	start.hed	505.04,  -1.140442,-4.332,0.568,0
15075	start.hed	509.58,  1.186811,7.764,-0.301,1
