#LST
330	proj.img
118	start.hed	509.98,  0.058855,-7.849,6.734,1
2244	start.hed	519.97,  -1.917193,-2.406,-5.474,1
2035	start.hed	507.27,  2.339657,9.397,-0.242,1
2294	start.hed	504.54,  -3.096550,-5.199,2.958,0
3105	start.hed	506.57,  -1.030993,-9.111,7.134,0
3076	start.hed	503.98,  -2.704522,-1.572,-3.861,0
3316	start.hed	508.00,  -1.330263,-1.722,-1.285,1
3791	start.hed	506.68,  -2.811905,-5.123,-3.795,0
4605	start.hed	503.72,  -3.043586,-2.917,-3.187,0
4834	start.hed	511.73,  -2.772185,-1.151,-10.325,1
4877	start.hed	502.55,  1.101031,2.242,0.253,1
5454	start.hed	503.31,  -1.491948,-8.078,0.249,0
5566	start.hed	508.38,  -2.358524,-4.809,-3.757,0
5844	start.hed	506.23,  -3.075240,3.650,-4.725,1
7134	start.hed	506.02,  -2.993761,2.422,-7.902,1
7259	start.hed	505.86,  2.060494,1.264,-7.460,0
8273	start.hed	507.85,  2.723057,-9.106,-5.995,0
8938	start.hed	507.61,  2.006222,4.191,-0.396,1
10440	start.hed	509.82,  -2.440616,-4.167,-1.573,0
11191	start.hed	508.50,  2.903203,2.193,-8.742,0
12542	start.hed	508.84,  0.002568,4.561,-0.030,0
12559	start.hed	505.43,  2.649064,2.390,-13.979,1
12425	start.hed	503.59,  0.273407,-4.375,5.594,1
12979	start.hed	507.61,  1.173428,8.013,-2.349,0
13894	start.hed	511.99,  -2.674410,-10.173,-0.747,0
14355	start.hed	505.08,  1.411730,3.792,5.133,0
14504	start.hed	509.46,  1.810221,10.545,1.206,0
