#LST
201	proj.img
1074	start.hed	506.60,  -2.801169,3.831,4.792,0
618	start.hed	508.89,  2.337650,2.760,-4.329,0
1518	start.hed	504.94,  -0.577275,4.529,5.552,0
1768	start.hed	504.51,  -0.833444,-6.310,1.319,0
2301	start.hed	503.38,  1.328442,-1.298,6.074,0
2882	start.hed	509.08,  -2.499268,-13.206,-2.352,0
2904	start.hed	504.99,  -0.603842,10.509,9.267,0
3770	start.hed	514.07,  2.533092,0.704,-3.715,0
4057	start.hed	512.92,  2.500437,-5.436,-12.548,0
4301	start.hed	520.71,  -0.867382,0.363,-1.920,0
4413	start.hed	514.62,  0.246830,-0.777,1.438,1
4143	start.hed	510.78,  -2.302582,0.164,0.453,1
4639	start.hed	520.12,  -0.221878,1.632,0.129,1
6158	start.hed	511.89,  -1.887968,3.732,-0.565,0
7129	start.hed	501.70,  1.012934,-2.323,2.180,0
7330	start.hed	503.56,  0.956854,1.464,-1.626,0
7217	start.hed	509.04,  1.726172,-1.607,1.906,0
7801	start.hed	510.06,  -0.524112,-8.322,1.025,1
8331	start.hed	502.08,  -2.544533,1.996,-5.294,0
8690	start.hed	502.91,  2.550322,0.334,-7.136,0
8633	start.hed	509.38,  -3.141232,5.005,0.273,0
9509	start.hed	508.48,  -1.610000,-3.289,8.228,1
9641	start.hed	506.95,  0.359443,0.020,6.626,1
10458	start.hed	515.09,  -0.245897,1.768,3.017,1
10785	start.hed	515.62,  -2.501638,2.492,0.692,1
10931	start.hed	504.47,  1.005257,-3.688,0.678,0
11931	start.hed	502.22,  -1.937965,-3.023,1.812,1
11953	start.hed	506.78,  -2.013662,-6.752,5.845,0
13267	start.hed	505.61,  1.382862,5.319,-1.502,0
14454	start.hed	507.82,  2.197751,8.265,4.713,1
14649	start.hed	508.23,  -1.132822,-2.462,-2.886,0
