#LST
570	proj.img
230	start.hed	515.08,  -1.262688,-9.781,6.638,0
1786	start.hed	512.42,  -2.954277,-3.014,-5.291,0
2806	start.hed	512.91,  0.367637,3.213,6.305,1
3877	start.hed	507.64,  -0.054399,-2.951,10.703,1
4355	start.hed	531.14,  -0.196047,-2.829,11.400,1
4516	start.hed	518.81,  -0.275809,-1.925,2.465,1
5093	start.hed	500.64,  1.775611,1.928,-2.074,0
5309	start.hed	509.18,  -0.046974,-0.176,3.027,0
5608	start.hed	509.20,  2.919257,1.746,-0.249,1
5884	start.hed	508.02,  0.113023,6.557,4.344,0
6471	start.hed	508.23,  -0.961538,-2.431,1.528,1
6501	start.hed	506.50,  -0.069379,-0.677,1.581,1
6696	start.hed	502.24,  2.260400,4.561,-2.385,1
7624	start.hed	503.86,  -2.990615,-12.268,-5.379,1
7897	start.hed	504.06,  -1.249661,-2.146,-1.207,1
8045	start.hed	504.31,  1.700923,1.158,3.125,1
8194	start.hed	500.51,  0.590105,2.830,4.028,1
8611	start.hed	509.07,  -1.845972,-8.295,0.661,1
8656	start.hed	503.51,  2.261881,2.978,0.152,1
9414	start.hed	507.80,  1.103016,5.094,0.705,0
9586	start.hed	514.72,  2.060289,2.437,-2.427,0
10239	start.hed	509.43,  -3.166132,-0.189,-6.399,1
10977	start.hed	504.45,  -2.694696,-1.504,-3.102,0
11050	start.hed	504.31,  1.700923,1.158,3.125,1
11204	start.hed	510.85,  -2.187425,-5.797,-5.395,0
12033	start.hed	510.31,  -3.051311,-2.322,-4.948,0
12160	start.hed	510.31,  -3.051311,-2.322,-4.948,0
12431	start.hed	507.36,  -2.527145,1.510,2.872,1
13145	start.hed	508.93,  -2.005828,-1.267,-2.674,1
13289	start.hed	506.25,  2.862087,1.656,-3.957,1
13484	start.hed	508.93,  -2.005828,-1.267,-2.674,1
