#LST
365	proj.img
855	start.hed	505.89,  -0.344153,-1.139,7.660,1
309	start.hed	509.34,  3.143702,0.979,-9.955,0
830	start.hed	501.09,  1.375189,3.328,8.529,0
988	start.hed	503.82,  1.259917,6.972,3.164,1
1813	start.hed	506.67,  -0.909696,-5.404,2.922,0
3001	start.hed	505.43,  1.064122,6.122,-0.550,1
3100	start.hed	505.84,  -2.420639,-2.978,-5.514,0
3947	start.hed	509.39,  -0.465490,-7.726,2.957,0
4975	start.hed	501.18,  -1.244689,9.666,2.608,1
6811	start.hed	504.46,  1.074001,8.492,7.122,0
6972	start.hed	501.96,  0.336004,1.370,7.188,0
7279	start.hed	504.52,  0.412901,7.489,0.091,1
7697	start.hed	499.76,  -0.310760,-0.185,2.326,0
8363	start.hed	506.82,  2.159366,-1.475,-10.450,1
8733	start.hed	507.39,  -0.556339,-9.547,2.619,0
8546	start.hed	501.75,  1.627185,1.686,-9.353,0
9018	start.hed	502.13,  1.257115,5.221,-12.714,0
10095	start.hed	510.70,  2.515044,4.335,1.408,0
9964	start.hed	512.16,  0.853562,2.314,6.694,0
10330	start.hed	506.49,  -0.296004,-1.366,4.653,1
10459	start.hed	509.26,  1.490276,6.534,-1.536,1
10751	start.hed	503.60,  2.338750,-0.987,9.699,0
12129	start.hed	512.38,  -2.340022,0.104,-6.071,0
12256	start.hed	512.38,  -2.340022,0.104,-6.071,0
12515	start.hed	508.45,  1.625258,5.401,-1.042,1
12516	start.hed	509.92,  1.803114,3.000,4.175,0
12760	start.hed	503.88,  1.752237,9.838,0.259,0
13769	start.hed	511.20,  1.399862,8.077,-0.790,1
14387	start.hed	509.77,  1.849154,2.190,-11.307,1
