#LST
655	proj.img
501	start.hed	508.57,  2.106641,4.033,-4.340,1
810	start.hed	506.98,  0.352090,0.418,-4.566,1
210	start.hed	507.68,  -1.982422,-2.089,2.040,0
1603	start.hed	508.91,  1.479484,0.861,6.722,0
2004	start.hed	509.77,  -2.855872,-6.153,-7.494,0
2588	start.hed	511.84,  -2.286975,-6.357,-5.298,0
4367	start.hed	503.37,  -2.432952,2.237,-6.002,0
4905	start.hed	503.86,  -1.880867,-8.666,0.476,1
4911	start.hed	504.02,  -1.025157,13.033,5.933,1
6417	start.hed	500.66,  -2.819192,-2.573,-8.123,1
6878	start.hed	515.47,  2.044567,6.556,-6.066,1
7491	start.hed	506.75,  -0.070299,8.314,8.416,0
8766	start.hed	509.11,  1.869026,-8.747,-2.188,1
8593	start.hed	504.76,  1.204769,5.452,1.715,0
8522	start.hed	506.37,  1.451405,5.191,2.666,0
8905	start.hed	497.41,  -3.034723,1.845,-2.899,0
8878	start.hed	503.12,  -1.820331,-7.828,0.590,0
9613	start.hed	501.54,  2.982408,7.255,-10.112,0
10230	start.hed	509.42,  -1.264267,-4.789,2.172,1
10678	start.hed	505.88,  2.493124,7.558,8.865,1
10758	start.hed	508.74,  1.634866,7.694,4.217,0
10998	start.hed	501.83,  2.381588,2.321,-3.157,1
11224	start.hed	504.55,  1.926656,7.989,-4.706,1
11530	start.hed	504.85,  2.640570,2.068,-5.784,0
11641	start.hed	503.23,  2.642040,2.033,-5.683,0
11932	start.hed	502.64,  -2.194098,-6.325,0.721,1
12978	start.hed	511.78,  -2.159351,-1.196,-6.761,0
13448	start.hed	501.21,  -0.446750,-9.585,4.610,1
13626	start.hed	512.93,  -2.715569,-8.246,-1.408,1
13663	start.hed	512.20,  -1.166925,-4.176,4.080,0
14376	start.hed	510.80,  -2.346205,-7.574,-7.010,1
14742	start.hed	512.92,  -0.766585,0.115,5.142,1
15245	start.hed	507.82,  1.818405,-13.344,4.799,1
