#LST
367	proj.img
295	start.hed	499.39,  -2.643005,-1.987,-2.888,0
1522	start.hed	540.76,  -2.142037,-6.582,-1.590,1
1587	start.hed	508.41,  -0.303373,-0.658,6.720,1
1685	start.hed	510.30,  0.170791,0.890,4.567,1
1692	start.hed	509.13,  0.117923,1.263,8.081,0
2996	start.hed	507.70,  -2.783271,-1.932,-8.027,1
2910	start.hed	509.27,  0.531193,3.868,3.182,0
4181	start.hed	504.14,  0.648427,5.645,4.673,1
4679	start.hed	518.45,  1.549925,10.007,3.122,1
4718	start.hed	509.81,  3.081168,-1.197,-6.422,1
5178	start.hed	503.55,  -3.089237,-1.155,-4.495,0
6668	start.hed	507.33,  -0.219540,-2.719,5.169,0
6899	start.hed	506.46,  -0.460450,-5.045,6.172,0
8236	start.hed	504.68,  2.814328,-0.891,-11.162,0
8840	start.hed	508.03,  1.029525,6.254,0.257,1
8634	start.hed	504.13,  -2.541823,-5.616,1.805,1
9218	start.hed	508.05,  2.247479,7.863,-6.780,0
9261	start.hed	501.87,  -2.575440,5.902,-4.913,1
9990	start.hed	510.50,  2.570896,5.923,-7.868,0
11540	start.hed	513.37,  1.494632,8.660,0.191,0
12639	start.hed	506.05,  2.420653,-0.108,-5.736,1
12651	start.hed	500.83,  0.321265,10.322,-3.937,0
14865	start.hed	511.67,  -1.029553,-7.803,5.054,1
15127	start.hed	511.84,  -2.264741,-4.642,-3.811,1
15315	start.hed	509.23,  -2.341030,2.364,0.464,1
