#LST
297	proj.img
141	start.hed	513.93,  3.025676,-6.004,-10.067,1
1444	start.hed	513.81,  1.544989,3.736,0.217,0
1845	start.hed	510.49,  3.041119,7.785,-3.356,0
1781	start.hed	507.53,  -1.631481,6.469,11.999,1
2146	start.hed	526.08,  2.594802,8.285,5.713,0
2395	start.hed	516.72,  -1.961505,-4.961,-11.027,0
2753	start.hed	506.30,  -1.440626,0.211,9.400,1
4770	start.hed	507.45,  2.066863,11.468,2.731,0
5020	start.hed	510.07,  -0.273599,6.112,7.100,1
6316	start.hed	505.82,  1.188066,9.218,8.457,0
7193	start.hed	503.68,  -0.861136,-11.738,6.025,1
7374	start.hed	509.55,  1.606048,9.010,5.225,0
8164	start.hed	498.97,  0.475955,9.816,-1.363,1
8803	start.hed	506.25,  1.020043,2.380,1.910,0
8844	start.hed	518.07,  1.393324,1.137,3.823,1
9363	start.hed	507.38,  0.887017,5.346,-2.481,0
9933	start.hed	505.41,  -0.594169,5.908,6.977,1
10572	start.hed	505.63,  -2.127620,-5.974,-4.629,1
11170	start.hed	498.97,  0.475955,9.816,-1.363,1
12585	start.hed	511.54,  -1.776904,-0.858,7.827,1
14215	start.hed	509.32,  1.667452,7.750,11.142,1
14151	start.hed	510.25,  1.048810,-5.791,8.684,0
14640	start.hed	507.59,  1.753600,-0.064,-11.135,0
14566	start.hed	508.09,  0.977045,12.263,0.082,1
