#LST
625	proj.img
1046	start.hed	505.40,  -0.800703,-7.131,9.163,1
1085	start.hed	501.16,  2.380570,1.590,-11.128,0
2300	start.hed	511.69,  0.955080,9.573,-3.160,0
2136	start.hed	514.48,  -1.739972,-5.134,-0.173,0
2470	start.hed	509.44,  0.350711,1.519,5.709,0
2829	start.hed	509.30,  2.323426,7.173,-3.870,1
2886	start.hed	515.90,  0.466844,9.754,9.130,0
4319	start.hed	509.16,  1.877787,13.523,-1.202,1
4361	start.hed	511.34,  0.433422,8.439,9.673,0
4710	start.hed	513.21,  2.738302,0.063,-7.227,0
6519	start.hed	502.62,  -2.937934,-3.523,-8.432,0
6612	start.hed	504.37,  2.294741,1.184,-1.558,1
6933	start.hed	500.21,  -1.694710,1.004,-13.172,1
7014	start.hed	513.98,  1.130811,11.207,2.041,0
8776	start.hed	509.97,  2.396392,2.538,-2.456,0
8527	start.hed	502.39,  -1.830303,-0.840,-2.419,0
8507	start.hed	507.67,  2.756173,-6.873,-11.046,0
9541	start.hed	509.77,  2.918529,4.851,-8.883,1
10659	start.hed	517.13,  1.017692,11.475,1.788,0
10714	start.hed	507.55,  -1.781551,-5.193,-0.206,0
10797	start.hed	507.83,  -1.543375,-8.824,-1.626,1
11282	start.hed	505.75,  0.863747,0.489,8.772,0
11362	start.hed	510.66,  -1.000625,-6.148,3.285,1
12759	start.hed	504.24,  -2.749631,13.533,-5.034,0
12767	start.hed	510.30,  -2.640832,-1.656,-6.872,0
14292	start.hed	504.09,  -0.359612,-4.927,2.811,1
14917	start.hed	513.33,  0.642806,8.540,3.753,0
15237	start.hed	506.21,  0.904265,10.405,0.731,0
