#LST
688	proj.img
663	start.hed	506.36,  -1.705128,-12.878,-2.804,1
1013	start.hed	513.95,  0.063238,-2.647,14.218,1
1508	start.hed	498.41,  2.842699,2.919,-0.636,0
1727	start.hed	508.73,  0.163059,7.327,8.576,0
2194	start.hed	508.31,  -1.337992,-9.681,6.287,1
2529	start.hed	503.83,  -2.777653,-11.963,-7.190,0
2905	start.hed	506.16,  0.263470,3.558,3.079,1
3785	start.hed	505.73,  -1.507982,-8.659,-0.102,1
4292	start.hed	513.74,  -1.083617,-2.736,1.643,1
4604	start.hed	505.27,  -0.409170,-3.509,3.033,0
4490	start.hed	503.77,  1.034246,8.656,11.042,1
5123	start.hed	502.69,  2.202506,5.626,-0.311,1
5974	start.hed	508.55,  0.490231,3.682,0.942,0
6533	start.hed	505.60,  -0.075636,0.658,5.016,0
7285	start.hed	503.75,  -1.816845,-4.537,-0.485,1
7670	start.hed	507.34,  -0.600892,-5.962,0.750,1
8145	start.hed	502.89,  -0.475197,-1.822,3.847,0
8209	start.hed	504.22,  0.854203,3.643,2.839,1
8755	start.hed	500.92,  -1.968325,-3.101,-3.968,1
8760	start.hed	502.00,  2.080491,2.895,-5.317,1
8851	start.hed	505.09,  -0.878358,-6.144,10.746,0
9021	start.hed	506.90,  2.911906,4.950,-9.775,1
9533	start.hed	501.50,  -2.971737,-8.909,-11.019,1
10060	start.hed	499.77,  2.239478,3.050,-4.499,0
10349	start.hed	505.84,  0.462138,-4.085,5.785,1
10601	start.hed	504.12,  -2.692778,-2.238,-6.821,0
11151	start.hed	502.89,  -0.475197,-1.822,3.847,0
11259	start.hed	501.92,  0.753188,1.120,-3.731,0
11356	start.hed	509.50,  0.481638,3.207,6.606,0
11479	start.hed	512.04,  0.766346,0.554,2.722,1
11587	start.hed	512.25,  0.768177,0.613,2.680,1
11833	start.hed	506.14,  1.977937,4.651,-9.356,0
11941	start.hed	508.79,  -2.793859,1.482,8.556,1
12458	start.hed	500.46,  -1.463558,-7.639,-1.442,0
12604	start.hed	500.34,  1.898748,3.855,-1.290,1
14922	start.hed	505.85,  1.473681,4.773,1.703,1
14969	start.hed	507.69,  2.981700,1.911,8.501,1
