#LST
163	proj.img
1209	start.hed	510.29,  0.574363,9.132,-7.698,1
975	start.hed	506.54,  -1.222032,-2.335,3.817,1
2403	start.hed	513.52,  0.039594,-9.268,-4.825,0
2709	start.hed	512.01,  -2.993884,6.107,0.268,1
4422	start.hed	520.24,  1.882980,-14.251,3.014,0
4636	start.hed	514.32,  -1.470247,2.905,0.316,0
5307	start.hed	501.45,  0.653136,-0.088,0.364,1
5666	start.hed	503.90,  -2.520489,-1.976,7.262,1
6029	start.hed	517.73,  1.434142,4.849,-8.213,1
6100	start.hed	515.89,  2.168299,10.044,2.759,0
7031	start.hed	512.59,  -0.778320,1.030,9.161,1
8255	start.hed	505.33,  2.288505,6.621,12.565,1
8615	start.hed	510.70,  0.517456,-0.305,5.441,0
8999	start.hed	504.24,  -2.605963,-0.313,8.260,1
9371	start.hed	507.78,  -2.897088,9.898,-8.954,0
9306	start.hed	503.67,  -2.171604,10.631,-7.105,0
9222	start.hed	506.09,  -1.512910,-4.115,-9.853,0
10478	start.hed	516.80,  0.742409,4.600,7.325,0
10483	start.hed	510.61,  0.719124,2.589,11.688,0
10654	start.hed	500.47,  2.800391,4.540,-0.686,0
10757	start.hed	510.30,  -3.164159,5.902,-6.457,0
10851	start.hed	509.57,  0.269594,13.204,2.099,1
11007	start.hed	508.91,  -0.079044,-8.741,-6.945,1
13000	start.hed	507.18,  -1.771404,0.691,-10.363,0
13082	start.hed	510.80,  1.394409,1.052,-8.839,1
13164	start.hed	513.47,  2.781959,-8.709,10.936,1
13422	start.hed	507.30,  2.312151,1.895,-10.108,1
13349	start.hed	502.60,  -0.933803,5.602,10.068,1
13503	start.hed	513.47,  2.781959,-8.709,10.936,1
13591	start.hed	513.23,  1.265930,7.331,-6.312,1
13813	start.hed	506.82,  -2.577657,4.166,-9.565,0
13848	start.hed	533.89,  0.735585,-3.836,-11.747,1
13967	start.hed	510.79,  -0.545623,-8.476,-0.226,0
14413	start.hed	505.01,  2.431516,11.792,1.700,0
14604	start.hed	512.53,  2.392485,11.908,1.226,1
14612	start.hed	511.69,  -1.793257,0.570,-12.528,1
