#LST
438	proj.img
238	start.hed	512.47,  -0.941600,-8.362,1.075,1
393	start.hed	505.65,  0.935806,4.787,1.347,0
1103	start.hed	509.96,  1.543914,6.413,8.317,1
131	start.hed	513.62,  -2.778334,-1.532,-5.408,0
827	start.hed	508.21,  2.273352,9.287,-4.470,1
1303	start.hed	511.51,  -1.236307,-4.630,3.128,0
1594	start.hed	509.33,  1.870253,4.783,5.469,1
1669	start.hed	512.13,  2.553801,2.506,3.650,1
1913	start.hed	507.00,  -1.985797,-9.630,-0.049,0
2248	start.hed	514.31,  -2.838084,2.229,-3.947,1
3218	start.hed	501.67,  1.756486,5.313,-1.266,0
3615	start.hed	513.54,  2.857827,-6.984,-8.092,0
4065	start.hed	510.80,  1.807531,9.338,0.404,1
4381	start.hed	527.18,  -0.403113,-7.325,2.448,1
5742	start.hed	508.97,  0.028276,4.555,6.163,0
6139	start.hed	509.09,  0.184844,-1.903,7.939,1
6358	start.hed	507.08,  1.181849,7.011,-4.726,0
6775	start.hed	500.96,  -2.231686,-11.424,-5.842,0
7213	start.hed	508.72,  2.057656,7.093,-2.574,1
7898	start.hed	508.68,  -0.268643,4.426,4.019,0
7777	start.hed	508.70,  1.693696,9.021,5.261,1
8567	start.hed	532.52,  -1.015337,-0.420,3.476,0
8821	start.hed	516.10,  -2.874085,-2.863,-8.879,0
9594	start.hed	502.89,  -1.083100,-8.186,-0.538,1
11710	start.hed	506.73,  -0.395423,-11.228,-1.616,0
11937	start.hed	508.33,  1.593538,4.781,-6.837,0
12916	start.hed	503.10,  2.607475,1.283,-2.466,1
13028	start.hed	505.64,  1.298651,11.416,4.504,1
13604	start.hed	506.46,  2.702859,1.157,-8.958,0
13784	start.hed	507.33,  2.422257,-0.745,-2.398,0
14444	start.hed	509.18,  -1.686261,-8.784,2.663,0
