#LST
426	proj.img
8	start.hed	515.86,  -0.337559,-12.292,4.595,0
769	start.hed	503.82,  -2.663809,-6.781,-9.173,0
353	start.hed	506.38,  -0.844148,-8.473,8.941,0
1105	start.hed	506.30,  1.866934,5.971,-2.240,0
1241	start.hed	506.40,  2.885777,2.608,-8.383,1
291	start.hed	498.27,  -2.726643,-6.097,-2.805,0
522	start.hed	509.82,  1.278485,8.072,3.733,1
185	start.hed	512.40,  -1.600517,-1.830,3.354,1
568	start.hed	507.43,  0.154469,-0.215,3.203,1
1499	start.hed	505.11,  -2.100451,2.689,-3.667,0
2434	start.hed	506.95,  1.608862,0.535,0.166,1
2379	start.hed	517.76,  -2.904467,1.746,-7.399,0
3134	start.hed	506.98,  1.109280,5.075,2.403,1
3932	start.hed	508.42,  2.734394,2.475,-3.653,1
4112	start.hed	509.69,  2.221578,2.961,9.188,0
4115	start.hed	503.42,  -1.545991,-5.476,12.413,0
5906	start.hed	504.53,  1.219007,4.965,2.104,1
6090	start.hed	522.63,  2.905760,2.841,-9.995,0
6331	start.hed	514.26,  -0.063271,1.584,6.262,1
6504	start.hed	503.15,  -1.808326,-6.766,-4.346,0
6753	start.hed	500.60,  -0.486055,10.638,-4.668,1
7117	start.hed	500.94,  -0.245700,-0.743,6.552,0
9089	start.hed	503.93,  -1.464452,-7.827,-1.720,0
9328	start.hed	506.79,  -0.670358,-6.522,9.452,1
9768	start.hed	509.95,  -1.200318,-7.187,1.661,1
10416	start.hed	500.41,  -0.102476,-0.316,5.992,1
10736	start.hed	504.08,  -2.290996,0.443,-6.569,1
11913	start.hed	504.07,  -2.872483,-2.138,-8.061,1
12792	start.hed	499.61,  1.928126,5.110,0.537,0
12940	start.hed	501.17,  -1.668608,10.574,4.991,1
13303	start.hed	500.36,  -0.987017,-5.490,-0.985,1
13814	start.hed	510.64,  -2.314773,13.999,-3.217,1
15220	start.hed	502.57,  2.568804,3.480,-9.948,0
