#LST
289	proj.img
19	start.hed	512.71,  0.699476,5.868,2.194,0
872	start.hed	508.55,  -1.628868,-6.338,-0.838,1
268	start.hed	506.96,  -1.298281,-1.838,0.517,0
2560	start.hed	508.45,  -0.676357,-3.865,3.351,0
3842	start.hed	509.94,  -1.832605,-4.723,-0.313,0
4085	start.hed	507.39,  3.108918,-0.246,-5.181,0
4916	start.hed	503.59,  -3.002326,-2.063,-11.114,0
4853	start.hed	505.44,  -2.018718,-8.006,-2.806,1
5989	start.hed	512.86,  1.925779,6.159,-0.897,1
6813	start.hed	507.19,  -1.458702,-6.516,2.075,0
7075	start.hed	505.95,  1.201934,4.162,-0.038,0
7431	start.hed	505.54,  -2.471924,-1.340,-0.565,0
7522	start.hed	506.49,  0.960495,7.236,2.700,1
7893	start.hed	504.45,  1.441113,6.656,2.960,1
8002	start.hed	501.57,  2.406441,8.426,-6.796,0
8828	start.hed	510.28,  0.836418,-0.271,2.098,1
9043	start.hed	503.53,  -2.028871,-5.439,-5.059,1
9563	start.hed	508.59,  -1.266002,-4.280,2.933,0
10053	start.hed	503.77,  -0.751676,-2.797,9.343,0
9961	start.hed	508.18,  -0.001377,0.985,1.967,0
10208	start.hed	505.46,  -2.768288,-1.301,-5.147,0
10997	start.hed	501.75,  -1.882893,-2.678,1.767,0
11485	start.hed	507.74,  -2.380757,-1.445,-4.105,1
11593	start.hed	509.24,  -2.379715,-1.540,-4.180,1
11861	start.hed	503.17,  -1.910102,-3.253,-2.305,1
12284	start.hed	511.55,  0.317123,1.826,2.636,0
12350	start.hed	505.69,  0.443101,3.722,7.909,0
15268	start.hed	512.08,  -0.931135,-5.323,3.638,1
