#LST
472	proj.img
770	start.hed	504.64,  -0.823672,-6.901,-7.335,0
701	start.hed	507.88,  -2.254705,-0.260,-5.444,0
869	start.hed	503.50,  -2.609271,-2.486,-9.762,0
480	start.hed	503.17,  3.080853,1.149,-4.115,1
914	start.hed	503.76,  -2.861129,-6.334,-4.218,1
1326	start.hed	504.39,  1.987153,7.928,-2.270,1
3409	start.hed	509.37,  -1.642889,0.580,14.538,1
3214	start.hed	501.13,  1.397018,6.786,3.499,1
3445	start.hed	506.15,  -1.916064,-7.624,0.413,1
4228	start.hed	510.64,  -2.113859,-5.092,-5.619,0
4277	start.hed	507.76,  2.386792,7.879,-7.266,0
4533	start.hed	506.15,  -1.331324,-7.705,-2.868,0
4779	start.hed	503.60,  2.575686,1.958,0.224,1
5331	start.hed	511.57,  0.372528,-7.680,3.707,0
6564	start.hed	514.83,  2.597001,0.130,5.690,1
7685	start.hed	507.26,  0.314768,-12.918,0.366,0
8371	start.hed	503.73,  -0.834552,-3.840,4.469,0
8923	start.hed	509.48,  1.449881,1.918,0.829,0
8898	start.hed	503.45,  1.010886,8.378,1.717,1
9086	start.hed	505.89,  1.074531,7.230,4.277,1
9108	start.hed	512.81,  -3.141593,1.000,-5.000,1
10353	start.hed	521.58,  1.000120,6.910,-1.093,1
10695	start.hed	510.29,  1.991213,5.400,-2.980,1
10799	start.hed	506.11,  1.340667,2.588,3.296,0
11721	start.hed	510.73,  -1.552357,-1.723,5.874,1
11894	start.hed	507.67,  1.536630,11.204,7.275,0
14199	start.hed	513.03,  2.621807,5.949,-3.690,0
14554	start.hed	513.01,  -2.804879,0.914,-2.691,0
14823	start.hed	510.61,  0.741478,1.189,-2.275,0
14906	start.hed	509.54,  -2.193193,-3.682,0.177,1
