#LST
393	proj.img
228	start.hed	507.19,  -1.003489,-9.044,4.691,1
389	start.hed	500.46,  -2.169657,0.015,-1.538,0
885	start.hed	501.14,  -3.108335,-7.827,3.083,0
1352	start.hed	501.96,  0.820908,2.694,3.257,0
1420	start.hed	510.14,  -0.755629,2.493,10.054,0
1852	start.hed	510.64,  -3.067366,0.197,-3.068,1
2704	start.hed	532.89,  -1.727143,-8.979,6.698,1
3027	start.hed	506.61,  1.901484,4.586,-1.133,0
2927	start.hed	506.76,  -1.431620,-5.133,0.223,0
3687	start.hed	501.18,  -0.034995,0.063,7.643,1
4383	start.hed	509.99,  -2.131651,-7.276,-4.398,1
5970	start.hed	505.56,  0.487087,1.485,8.149,0
6865	start.hed	510.00,  -0.761861,-3.359,4.567,0
8020	start.hed	501.87,  2.352756,5.397,-0.712,0
9656	start.hed	509.41,  -1.427374,-3.870,-0.540,0
9564	start.hed	506.21,  -1.954118,-5.366,-0.832,1
9728	start.hed	506.60,  -0.589451,-1.707,-0.086,1
10707	start.hed	507.87,  -0.928613,-2.752,2.668,1
11428	start.hed	502.84,  -1.198190,-12.365,6.531,1
11792	start.hed	501.82,  -1.065545,-4.605,5.423,1
12340	start.hed	505.73,  -2.674510,-6.761,-1.569,1
12359	start.hed	506.83,  1.800078,0.688,-1.882,0
14034	start.hed	504.45,  -2.067554,-5.611,-1.276,1
14416	start.hed	507.18,  -0.905080,-5.153,5.784,0
14553	start.hed	506.03,  -1.527223,-5.493,-0.193,1
