#LST
677	proj.img
39	start.hed	507.44,  1.060470,3.866,6.149,1
982	start.hed	508.40,  -2.008588,-5.979,8.004,0
581	start.hed	509.09,  0.040682,-0.033,1.363,0
2358	start.hed	503.34,  1.193076,4.885,-0.973,1
2796	start.hed	501.32,  -2.815529,10.708,1.925,1
3063	start.hed	504.72,  -1.902339,2.101,-9.905,1
3550	start.hed	532.07,  -1.700387,-5.446,-4.751,1
3970	start.hed	506.73,  -1.312752,13.418,3.595,0
4248	start.hed	512.20,  0.109854,-9.509,6.227,1
6506	start.hed	517.09,  -2.692379,-0.165,-4.010,0
6856	start.hed	510.36,  1.490838,-0.227,-7.676,0
7506	start.hed	509.07,  -2.725985,-9.349,-9.235,0
7675	start.hed	504.56,  0.427446,7.896,-2.363,0
8071	start.hed	505.16,  -0.797381,0.562,5.687,0
8702	start.hed	508.26,  -1.327758,-7.910,11.657,0
8877	start.hed	511.27,  0.484919,1.514,10.513,1
9770	start.hed	506.95,  1.359183,0.435,6.468,1
10067	start.hed	512.77,  -2.634409,-12.281,-6.734,0
10442	start.hed	507.40,  2.989454,-7.468,-5.734,0
10848	start.hed	501.83,  1.330976,1.907,-2.362,0
11077	start.hed	505.16,  -0.797381,0.562,5.687,0
12048	start.hed	509.12,  1.360970,9.738,-5.268,0
12175	start.hed	509.12,  1.360970,9.738,-5.268,0
12383	start.hed	510.16,  -2.328714,-8.892,-3.442,0
12623	start.hed	500.94,  -3.019064,-2.491,-2.312,0
12669	start.hed	497.86,  -0.706010,-11.523,-2.537,1
13237	start.hed	505.80,  0.508806,10.372,-2.085,0
13242	start.hed	504.72,  -0.940376,6.055,9.154,0
13576	start.hed	505.80,  0.508806,10.372,-2.085,0
13581	start.hed	504.72,  -0.940376,6.055,9.154,0
13438	start.hed	502.78,  2.051473,-0.142,-2.599,0
14610	start.hed	500.06,  0.405560,10.939,-8.660,1
