#LST
479	proj.img
749	start.hed	505.48,  -2.352798,-5.305,-5.119,1
319	start.hed	498.00,  0.452126,1.986,5.829,0
990	start.hed	505.76,  -0.667906,1.029,6.201,1
1585	start.hed	505.89,  -2.082226,-3.000,-2.614,0
1912	start.hed	508.31,  -3.117831,2.927,-6.063,0
1638	start.hed	510.38,  -1.142955,-4.925,0.169,0
2067	start.hed	514.60,  -1.569880,-9.042,4.003,1
3313	start.hed	511.73,  -2.042252,-2.725,-3.302,0
3326	start.hed	509.89,  0.536938,4.270,3.169,1
3328	start.hed	513.19,  2.006668,3.721,-4.768,1
3405	start.hed	509.94,  0.802502,3.785,2.384,1
4022	start.hed	512.14,  -2.061918,-4.068,0.342,1
4513	start.hed	508.88,  -1.747134,-2.965,-2.184,0
5478	start.hed	507.45,  -0.483550,-4.586,5.838,1
5261	start.hed	501.21,  2.346682,6.216,-2.386,0
5390	start.hed	505.11,  0.369586,0.987,5.366,1
5637	start.hed	508.60,  -1.065618,-6.137,3.611,1
6005	start.hed	509.76,  -2.643737,0.523,-4.594,0
6112	start.hed	508.04,  -0.107133,-0.245,5.190,0
6990	start.hed	507.31,  -2.775620,0.016,-6.202,1
7131	start.hed	511.04,  2.120966,-3.603,-2.721,1
7890	start.hed	506.36,  2.342263,2.415,-5.447,0
8028	start.hed	507.26,  0.003746,0.999,8.072,1
9117	start.hed	502.99,  0.252630,4.492,8.570,0
9123	start.hed	508.59,  -2.124674,-5.075,-6.345,0
9642	start.hed	509.67,  -1.617411,-3.030,1.763,0
10072	start.hed	515.25,  -0.083591,-4.252,3.977,0
9947	start.hed	509.12,  -0.531130,-0.730,4.147,1
10600	start.hed	499.55,  -2.915684,-5.855,-0.843,1
11032	start.hed	507.26,  0.003746,0.999,8.072,1
12316	start.hed	522.89,  0.516831,5.115,9.924,1
12402	start.hed	514.34,  1.591971,8.067,-1.714,1
13050	start.hed	513.47,  -0.157289,0.148,5.155,1
14101	start.hed	501.22,  -1.321300,-9.144,2.468,0
14601	start.hed	506.78,  -2.158351,-4.142,-3.606,0
15271	start.hed	519.44,  -2.017817,-4.959,-4.904,0
15339	start.hed	510.92,  1.996785,6.712,1.794,0
