#LST
97	proj.img
464	start.hed	503.39,  2.456238,10.720,3.661,0
2637	start.hed	507.30,  -0.426842,-5.413,6.667,0
2675	start.hed	510.90,  -1.156834,-0.853,5.828,1
2918	start.hed	507.70,  2.709568,-5.139,6.512,0
3496	start.hed	525.01,  -1.880894,-5.129,-4.208,0
3883	start.hed	506.13,  -2.992637,0.415,-8.295,0
4308	start.hed	512.34,  2.753230,5.286,-3.844,0
4171	start.hed	512.66,  2.588048,7.397,-10.211,0
4810	start.hed	510.82,  -1.809084,9.280,-6.740,0
4889	start.hed	509.77,  1.036593,10.138,0.712,1
6288	start.hed	505.96,  2.489985,2.714,-9.083,1
7081	start.hed	511.76,  1.273936,8.590,-2.982,1
7465	start.hed	508.21,  -0.746927,-9.347,1.535,0
7673	start.hed	515.18,  0.678002,10.433,1.995,1
8076	start.hed	505.36,  0.843465,-2.257,1.713,0
8900	start.hed	512.20,  2.902874,-1.877,-10.737,1
9664	start.hed	509.68,  2.281544,-9.705,7.789,0
10907	start.hed	517.95,  -0.220016,1.217,-13.022,1
11082	start.hed	505.36,  0.843465,-2.257,1.713,0
14337	start.hed	511.18,  1.563496,2.874,9.529,0
14393	start.hed	508.67,  1.221367,0.949,-6.954,0
14758	start.hed	505.73,  2.998904,8.084,-5.211,0
14765	start.hed	511.98,  -2.694257,4.268,13.445,0
15042	start.hed	508.28,  -3.071329,-3.615,-8.080,1
15114	start.hed	524.77,  1.130973,9.000,-10.000,1
