#LST
650	proj.img
133	start.hed	511.10,  -2.124630,-3.801,-8.154,0
1460	start.hed	506.50,  -1.093961,-8.249,3.242,0
1758	start.hed	506.71,  -0.347982,-10.081,4.196,0
1811	start.hed	509.99,  -1.103828,-0.722,4.349,1
2150	start.hed	510.10,  2.783486,5.965,-4.701,0
2971	start.hed	507.09,  -0.341289,10.617,1.875,1
3610	start.hed	510.35,  1.855010,10.224,-8.614,1
4960	start.hed	514.17,  -1.254983,-3.400,10.301,1
4986	start.hed	506.70,  0.793155,1.415,6.594,0
5492	start.hed	505.96,  -2.633494,-4.354,-3.476,1
6243	start.hed	507.35,  1.523694,6.669,1.085,1
6665	start.hed	505.30,  0.626334,3.151,8.274,0
7185	start.hed	507.34,  -0.349549,5.728,4.227,1
8005	start.hed	505.71,  -0.422586,-7.787,-11.236,1
8782	start.hed	509.06,  -0.224108,-3.495,4.318,0
8488	start.hed	507.54,  2.831008,-7.814,-3.712,0
8892	start.hed	509.03,  2.325321,0.339,-4.861,1
9511	start.hed	509.79,  -1.341619,-0.810,2.574,1
11454	start.hed	510.87,  2.751877,-0.858,-3.358,1
11561	start.hed	509.25,  2.749208,-0.941,-3.330,1
11865	start.hed	501.15,  -0.001923,1.985,2.001,1
12729	start.hed	506.10,  2.699009,2.138,-10.032,0
13921	start.hed	508.20,  -0.000268,5.023,3.951,1
14542	start.hed	510.02,  1.539352,7.890,-3.287,1
14550	start.hed	509.55,  -1.018542,-2.921,-0.193,0
