#LST
248	proj.img
1263	start.hed	506.18,  -0.000653,-8.086,2.972,0
277	start.hed	513.57,  -3.037573,-8.760,5.368,1
2290	start.hed	509.32,  1.407355,-10.034,6.469,1
2984	start.hed	513.03,  -0.193157,-11.997,-4.139,0
3789	start.hed	512.30,  -0.166282,-0.151,7.423,1
3810	start.hed	510.00,  0.500329,2.225,10.779,0
4855	start.hed	508.64,  2.924900,-9.157,-2.885,1
5092	start.hed	503.53,  -1.885482,-2.807,7.841,1
5510	start.hed	515.71,  -2.911809,-8.960,-0.858,1
5681	start.hed	508.97,  -0.135004,9.444,10.336,1
5692	start.hed	504.68,  2.762652,-9.661,-6.603,0
5955	start.hed	508.77,  -1.830128,-5.122,-0.392,0
8968	start.hed	510.11,  2.162963,8.042,4.822,0
9203	start.hed	511.92,  2.277721,-10.473,-2.728,0
10360	start.hed	504.88,  2.526718,0.900,-13.275,1
10846	start.hed	508.21,  -2.286393,-4.927,6.553,0
11731	start.hed	512.39,  -2.029785,-2.199,8.240,0
11954	start.hed	504.55,  -0.689477,-11.159,-5.259,1
13319	start.hed	515.09,  -2.326016,-8.017,3.986,1
13645	start.hed	507.41,  -3.039075,6.527,-0.768,0
13928	start.hed	514.61,  1.306816,-11.896,0.830,1
13966	start.hed	514.41,  2.257037,0.933,-10.536,1
14186	start.hed	518.72,  -0.435223,-11.799,-2.077,1
14672	start.hed	516.97,  2.358574,9.807,10.490,1
14846	start.hed	514.50,  2.348073,9.809,10.715,1
15082	start.hed	502.42,  2.916777,9.230,2.535,0
15333	start.hed	504.70,  2.000600,6.819,-11.306,0
