#LST
295	proj.img
438	start.hed	516.50,  2.431681,-1.559,-3.406,1
241	start.hed	525.80,  0.841350,1.810,-5.160,1
549	start.hed	523.40,  0.480896,-10.030,0.567,1
1557	start.hed	504.74,  -0.656945,-9.968,10.227,1
4025	start.hed	521.65,  -0.188743,1.616,-2.384,0
4753	start.hed	507.06,  -0.786324,1.200,1.910,0
4862	start.hed	513.26,  -1.341679,5.873,11.224,0
5657	start.hed	506.57,  -1.159636,-5.130,-11.483,1
5675	start.hed	503.59,  2.352578,2.709,2.983,0
7797	start.hed	504.22,  -2.241718,-3.514,3.091,1
7871	start.hed	508.39,  -2.203996,-8.764,4.455,1
7962	start.hed	508.82,  2.574533,-0.449,-6.461,1
8142	start.hed	506.89,  2.596420,11.151,-1.428,0
9626	start.hed	506.90,  1.540835,2.803,13.224,0
9571	start.hed	516.18,  -1.252310,-2.421,0.677,0
11148	start.hed	506.89,  2.596420,11.151,-1.428,0
12890	start.hed	506.76,  1.933915,-8.049,-6.670,1
13066	start.hed	515.83,  -1.996978,-6.939,4.068,0
13792	start.hed	507.98,  -0.103823,4.476,-0.872,1
13923	start.hed	516.16,  -1.148951,5.161,-2.374,0
14023	start.hed	512.98,  -0.190761,-2.620,11.562,1
14206	start.hed	505.68,  2.929296,-5.098,-3.696,1
14127	start.hed	510.45,  0.475282,4.906,11.926,1
14245	start.hed	512.83,  0.485492,4.168,6.140,1
14712	start.hed	506.13,  0.071673,-12.081,-8.197,1
15027	start.hed	517.65,  1.604772,0.636,-7.532,1
