#LST
424	proj.img
375	start.hed	506.78,  2.152881,5.320,2.515,0
1652	start.hed	511.54,  2.737870,2.021,-7.547,1
1650	start.hed	507.43,  -1.163043,1.507,2.941,1
1810	start.hed	510.56,  2.017411,7.629,-2.607,0
2505	start.hed	504.58,  -1.911306,-6.897,-2.348,0
3235	start.hed	511.44,  0.454620,4.907,6.344,1
3553	start.hed	512.85,  -3.061405,0.931,-7.042,0
3698	start.hed	510.76,  -1.491084,-6.867,-0.349,1
3840	start.hed	508.21,  1.936396,4.158,-1.774,1
3931	start.hed	518.75,  2.735257,4.664,-3.425,0
4406	start.hed	515.44,  -3.069046,-3.797,-4.171,1
4420	start.hed	512.09,  0.076033,-2.095,7.541,0
4656	start.hed	506.80,  -0.790912,-9.969,8.496,0
4968	start.hed	507.94,  0.275286,4.199,9.335,1
4870	start.hed	504.38,  -1.223145,-4.606,2.279,1
5215	start.hed	502.00,  2.366298,3.074,-2.834,1
5434	start.hed	512.70,  -0.613546,-3.675,4.126,0
6291	start.hed	505.69,  1.189481,5.018,2.302,0
6598	start.hed	504.82,  -0.845240,-1.630,3.299,1
6982	start.hed	507.24,  2.995958,2.094,-5.886,0
7407	start.hed	503.69,  2.477360,-8.230,5.997,1
8074	start.hed	503.16,  -2.695541,-3.766,-8.938,0
8329	start.hed	500.57,  1.600332,3.079,-2.328,0
8746	start.hed	508.04,  1.460664,6.471,-1.713,1
10000	start.hed	507.20,  1.316661,5.641,2.177,0
10329	start.hed	506.19,  -1.080865,-5.497,3.174,1
10537	start.hed	510.92,  -0.457683,-4.759,9.651,1
11080	start.hed	503.16,  -2.695541,-3.766,-8.938,0
11341	start.hed	510.18,  -0.122822,-0.977,5.767,0
12580	start.hed	502.76,  -2.685785,-4.125,-3.598,0
13127	start.hed	506.13,  1.568616,6.039,0.026,1
13186	start.hed	510.59,  -1.524137,-6.329,0.730,1
13364	start.hed	500.76,  -0.773554,-4.518,4.505,1
13525	start.hed	510.59,  -1.524137,-6.329,0.730,1
14738	start.hed	511.71,  1.736001,6.343,-3.516,1
