#LST
372	proj.img
895	start.hed	502.39,  -2.541021,-3.722,-3.790,0
1736	start.hed	504.73,  -2.614856,-5.877,-7.721,1
1608	start.hed	505.77,  -0.591050,-7.113,7.456,0
1618	start.hed	504.34,  2.822174,4.422,-2.423,1
2841	start.hed	519.24,  -2.114963,-4.288,1.143,1
3174	start.hed	507.78,  2.975303,2.907,-7.464,0
3086	start.hed	510.36,  0.288821,2.606,7.328,1
3257	start.hed	509.47,  2.982129,2.848,-7.324,0
3485	start.hed	512.89,  -2.091213,2.200,-4.650,0
3520	start.hed	504.96,  -1.038092,-11.129,2.236,1
4325	start.hed	508.17,  -0.461642,-0.210,5.367,0
4861	start.hed	503.49,  -0.397567,1.264,5.628,0
6257	start.hed	501.69,  -1.178652,-8.503,4.629,1
5899	start.hed	504.30,  -1.487979,-2.432,7.187,0
7299	start.hed	508.93,  0.848081,9.413,1.031,1
7542	start.hed	509.63,  1.620968,9.017,-0.898,1
8321	start.hed	510.06,  -2.107190,-6.908,-5.894,1
8285	start.hed	502.28,  1.534497,11.995,-6.148,0
8644	start.hed	507.44,  2.258364,12.707,0.399,1
8991	start.hed	504.70,  1.086457,4.145,7.315,1
9409	start.hed	503.14,  2.365057,-0.973,-0.864,1
10732	start.hed	505.22,  2.621850,-4.731,-7.184,1
10844	start.hed	502.72,  1.167468,8.376,7.489,1
11701	start.hed	507.26,  0.447774,6.180,8.910,0
12104	start.hed	505.62,  1.361093,6.212,-0.480,0
12231	start.hed	505.62,  1.361093,6.212,-0.480,0
12386	start.hed	508.53,  0.772768,9.357,2.995,0
12933	start.hed	499.18,  1.956069,7.255,3.768,1
13255	start.hed	510.45,  2.830644,2.962,-4.413,0
13742	start.hed	510.55,  2.120528,7.396,-5.179,0
14110	start.hed	511.72,  2.841228,11.430,-7.159,1
15321	start.hed	502.52,  -2.960627,-14.198,1.666,0
15340	start.hed	508.73,  1.172614,-7.080,5.754,0
