#LST
509	proj.img
1497	start.hed	504.63,  -2.208074,0.817,-14.129,1
1662	start.hed	511.68,  1.625472,5.746,2.783,0
2036	start.hed	511.09,  -0.643178,-3.414,3.871,1
2180	start.hed	512.68,  0.344868,2.560,4.411,0
3598	start.hed	510.33,  1.728604,4.190,0.781,1
3874	start.hed	505.07,  -2.123468,-4.344,-2.470,1
4456	start.hed	504.74,  1.153171,3.330,-0.663,0
4628	start.hed	511.84,  0.575475,1.124,3.864,1
4520	start.hed	509.36,  -2.636479,-3.490,-5.317,1
4843	start.hed	502.55,  1.772920,-0.238,0.034,1
5027	start.hed	506.97,  1.830712,-0.426,-2.210,0
5469	start.hed	515.87,  -1.964305,-4.190,0.190,0
6111	start.hed	507.57,  -2.518236,-3.243,-3.734,0
6328	start.hed	507.74,  1.382873,5.142,1.295,0
6770	start.hed	504.73,  -2.774426,-2.888,-6.343,0
6999	start.hed	510.48,  1.991951,3.440,0.246,1
8318	start.hed	506.93,  -0.783055,-2.560,5.588,0
8508	start.hed	511.16,  -2.873673,-1.698,-7.354,0
9810	start.hed	517.81,  -2.813286,-2.963,-0.529,0
9867	start.hed	507.27,  -2.012709,-4.063,-3.084,1
9980	start.hed	504.39,  2.255592,1.851,0.407,1
10766	start.hed	507.86,  0.578255,10.222,9.387,0
11340	start.hed	508.74,  -1.231531,-8.153,3.696,1
14130	start.hed	506.24,  1.283225,4.754,2.750,1
14668	start.hed	513.30,  2.603301,4.130,-3.662,1
14842	start.hed	512.50,  2.610486,4.307,-3.953,1
