#LST
681	proj.img
233	start.hed	517.22,  2.469030,3.940,-1.771,1
69	start.hed	512.51,  -2.122981,-4.663,-5.082,1
826	start.hed	505.84,  -2.904390,0.520,-4.552,1
1372	start.hed	510.25,  -0.747207,-0.353,3.348,0
1513	start.hed	502.08,  0.145153,0.274,10.222,1
1732	start.hed	503.97,  -0.755271,6.588,-11.803,1
2157	start.hed	506.94,  -1.027858,-5.796,0.209,0
3122	start.hed	507.10,  -2.436465,-1.829,-3.888,1
3853	start.hed	507.33,  -1.249344,-2.891,2.810,0
4612	start.hed	507.74,  -3.025911,-0.442,-9.531,1
4626	start.hed	508.45,  1.803245,5.987,1.459,1
4693	start.hed	508.61,  1.804536,10.426,1.058,1
5313	start.hed	506.20,  0.967751,1.641,1.302,0
6876	start.hed	510.25,  -2.853207,-2.658,-4.657,0
7365	start.hed	506.42,  0.589340,8.613,3.640,0
7711	start.hed	510.90,  1.074084,3.682,5.365,1
8179	start.hed	504.50,  1.944338,8.367,-3.511,1
8556	start.hed	514.40,  -2.387610,-3.000,-10.000,0
8891	start.hed	507.78,  1.861747,1.848,-11.526,0
9074	start.hed	508.62,  0.375253,1.720,2.535,0
9159	start.hed	508.26,  0.261073,0.340,4.789,1
9265	start.hed	506.99,  -2.092452,0.071,7.144,0
9399	start.hed	503.97,  -0.819710,-4.238,-4.359,1
9956	start.hed	511.96,  1.307927,6.578,3.636,1
10180	start.hed	515.69,  -1.214302,-5.029,-1.493,1
13599	start.hed	507.46,  -2.049274,-6.520,-1.469,1
14030	start.hed	509.14,  -2.055570,-6.383,2.995,1
14535	start.hed	512.24,  -1.619017,-2.979,-0.512,1
14926	start.hed	499.18,  -0.730977,2.026,-12.315,0
