#LST
206	proj.img
1189	start.hed	513.87,  -1.001187,-3.925,0.997,0
1350	start.hed	502.00,  -1.665728,13.346,-5.246,0
2958	start.hed	508.40,  -0.802869,-0.826,6.053,1
2976	start.hed	503.70,  -2.775238,14.178,1.836,0
3358	start.hed	520.22,  2.231671,1.920,-4.176,1
5180	start.hed	513.30,  1.725408,-1.188,-7.503,1
5508	start.hed	509.78,  0.926228,4.715,3.106,0
5528	start.hed	512.36,  -0.765395,-0.211,6.147,1
5539	start.hed	511.81,  -2.735788,13.837,-1.128,0
5605	start.hed	510.65,  2.198691,11.096,-5.767,0
5791	start.hed	508.33,  -0.098236,3.891,4.934,1
6979	start.hed	519.90,  -2.825063,5.084,-2.884,0
6828	start.hed	508.92,  1.798266,4.044,-6.476,1
7282	start.hed	503.61,  1.720903,9.779,5.440,0
7887	start.hed	515.42,  -2.530105,1.381,-1.169,0
8089	start.hed	507.25,  -2.340195,4.333,-8.111,0
8478	start.hed	506.98,  2.031724,14.336,0.751,0
9030	start.hed	508.30,  -0.688002,11.862,8.210,1
9487	start.hed	514.37,  0.700625,9.020,-3.641,1
9600	start.hed	510.69,  0.226762,5.196,5.956,1
9666	start.hed	507.78,  -0.919900,5.295,5.880,0
10428	start.hed	522.52,  -1.728932,-3.115,-4.152,0
10515	start.hed	507.82,  -0.480560,-1.701,0.128,1
10961	start.hed	510.04,  1.917333,5.693,-10.250,1
11095	start.hed	507.25,  -2.340195,4.333,-8.111,0
11463	start.hed	512.00,  -2.621542,5.033,-0.503,0
11488	start.hed	506.98,  -2.945773,1.502,-4.849,0
11571	start.hed	512.88,  -2.622002,5.048,-0.550,0
11596	start.hed	507.73,  -2.950873,1.417,-4.716,0
12067	start.hed	507.30,  -1.826616,-5.871,2.141,1
12077	start.hed	513.10,  2.360306,0.129,-7.267,1
12194	start.hed	507.30,  -1.826616,-5.871,2.141,1
12204	start.hed	513.10,  2.360306,0.129,-7.267,1
12540	start.hed	501.55,  -3.052538,-4.060,-3.122,1
13409	start.hed	507.60,  2.208649,-4.283,6.033,0
13594	start.hed	517.01,  -0.169105,-6.069,11.173,0
13646	start.hed	508.59,  1.968483,1.173,-13.689,1
13815	start.hed	502.47,  0.750847,5.710,9.095,1
13823	start.hed	506.97,  2.543700,9.512,0.372,0
14298	start.hed	502.75,  -1.600515,-3.050,5.747,1
14491	start.hed	502.37,  -3.012934,-1.133,-6.702,1
14516	start.hed	518.28,  2.985320,-5.781,-12.988,1
15325	start.hed	507.69,  -0.307995,1.562,6.286,1
