#LST
585	proj.img
710	start.hed	509.47,  2.141792,13.508,3.107,0
877	start.hed	501.04,  1.981313,3.510,-10.004,1
280	start.hed	511.34,  -2.289760,-0.692,-10.300,0
1439	start.hed	501.04,  -3.249382,1.547,-6.932,0
2033	start.hed	511.81,  -2.523542,-9.299,9.726,0
2232	start.hed	503.39,  -2.873545,-7.277,12.276,0
2672	start.hed	518.99,  0.175010,8.826,0.986,1
2878	start.hed	506.86,  -1.784227,-4.465,5.057,1
2885	start.hed	508.42,  -1.682839,-2.855,7.670,1
3332	start.hed	507.55,  -2.902489,4.074,-6.176,0
3539	start.hed	510.87,  -2.261832,-2.167,-11.158,1
3582	start.hed	510.45,  -2.056873,-6.281,4.101,1
3806	start.hed	509.75,  -0.147874,0.545,6.627,1
4358	start.hed	503.71,  1.811291,5.273,-8.962,1
7080	start.hed	513.91,  2.290541,1.718,-8.163,1
7333	start.hed	508.64,  -2.197125,-1.949,-8.854,1
7359	start.hed	507.05,  -2.332188,-3.684,-1.750,0
7706	start.hed	501.32,  0.768695,0.910,5.189,0
7827	start.hed	504.05,  -0.695859,-7.943,4.538,0
8361	start.hed	507.42,  -2.360164,1.556,-11.033,0
8391	start.hed	507.91,  -0.551236,4.444,8.276,1
8800	start.hed	512.15,  -0.160306,-4.059,9.883,0
9186	start.hed	507.14,  1.022205,6.387,-11.050,0
9750	start.hed	505.84,  2.945920,5.523,-6.717,0
11015	start.hed	511.94,  2.355340,8.753,2.803,0
11829	start.hed	505.47,  -2.546493,5.616,-6.304,0
11935	start.hed	505.37,  0.809786,3.317,7.131,0
12290	start.hed	510.22,  2.039932,4.301,-7.191,0
13072	start.hed	505.36,  -2.770182,-9.363,-5.894,1
13660	start.hed	506.34,  -0.193145,-6.434,11.032,1
14146	start.hed	510.66,  2.068517,10.253,5.178,1
14585	start.hed	513.06,  -2.594136,3.980,-6.762,0
15080	start.hed	508.80,  2.250014,-4.121,-11.243,1
