#LST
414	proj.img
1112	start.hed	504.62,  -1.866887,-5.852,-9.859,0
1442	start.hed	503.17,  -2.858381,-1.043,-1.886,0
2414	start.hed	508.20,  -2.628630,11.203,-3.860,0
3137	start.hed	506.85,  2.303989,-7.972,-1.965,0
3410	start.hed	508.30,  0.939691,-3.095,10.479,0
4217	start.hed	507.81,  1.905596,5.148,0.601,0
5009	start.hed	507.87,  1.157997,0.769,-12.154,1
5233	start.hed	504.81,  -1.137178,-2.140,6.049,0
5353	start.hed	507.61,  -1.401918,-5.523,-0.503,0
5690	start.hed	503.68,  1.603487,0.739,-0.087,0
5865	start.hed	508.38,  -0.149897,-1.271,0.638,1
5920	start.hed	508.77,  2.180046,0.509,-2.242,1
5958	start.hed	509.47,  -0.147475,-3.733,2.622,1
5963	start.hed	505.38,  -1.006004,-9.302,7.298,0
6311	start.hed	497.52,  -2.074755,-10.093,2.527,1
6405	start.hed	515.43,  -1.850678,10.831,-6.461,0
6549	start.hed	507.11,  -0.108447,-6.567,2.375,0
6653	start.hed	502.19,  -2.072595,-10.038,0.902,1
7331	start.hed	502.53,  -1.194415,-9.761,-1.989,0
7386	start.hed	505.53,  -0.703430,-9.157,7.740,0
8219	start.hed	508.76,  1.088680,-7.549,-7.729,1
8981	start.hed	502.17,  -1.378573,-1.174,0.143,1
12603	start.hed	507.52,  -2.464574,-2.739,-3.726,1
12772	start.hed	505.16,  -1.610975,8.288,-7.710,0
13001	start.hed	508.64,  -1.874748,-2.978,-3.611,0
13169	start.hed	502.94,  -1.437372,-8.113,4.209,1
13508	start.hed	502.94,  -1.437372,-8.113,4.209,1
13481	start.hed	505.17,  2.923803,13.994,0.462,1
14473	start.hed	505.88,  -0.137016,-0.578,4.469,1
14962	start.hed	508.55,  -1.798026,-6.544,2.291,0
