#LST
561	proj.img
470	start.hed	506.01,  1.012652,-2.833,9.182,1
693	start.hed	510.76,  2.662521,6.585,0.906,1
344	start.hed	507.56,  -2.188831,-6.820,-2.628,0
897	start.hed	507.04,  0.286740,3.591,7.832,1
1068	start.hed	505.31,  -0.188297,-5.219,5.774,1
176	start.hed	510.31,  0.835504,6.282,4.585,0
1584	start.hed	507.29,  -0.287128,-0.577,5.820,0
1864	start.hed	500.39,  -0.382762,-3.103,3.906,1
2012	start.hed	504.30,  -2.237007,-3.328,-11.861,0
2669	start.hed	509.29,  -0.809992,-8.021,0.614,1
3757	start.hed	507.97,  -0.256908,-0.239,-0.304,0
3826	start.hed	516.41,  -1.470547,-4.215,4.116,0
4828	start.hed	515.28,  -2.269693,0.834,-1.325,1
5011	start.hed	510.23,  1.931972,11.078,-5.515,0
5084	start.hed	513.49,  -2.776840,-5.338,-5.308,0
5879	start.hed	507.54,  1.712426,7.602,-1.934,1
6497	start.hed	508.98,  -2.686302,-0.274,-5.416,1
7026	start.hed	507.56,  -1.781521,-4.264,-0.582,1
7302	start.hed	503.19,  -2.863600,-7.746,-11.199,0
8133	start.hed	509.56,  -1.932504,-7.223,-11.673,0
8409	start.hed	509.74,  0.336378,8.611,0.071,0
8598	start.hed	518.47,  -2.660570,-6.272,-6.534,0
10650	start.hed	501.84,  0.031725,-8.558,-3.506,0
10726	start.hed	507.44,  -2.467469,-7.203,-3.265,0
10792	start.hed	514.38,  -1.147607,-6.558,-0.569,1
10793	start.hed	509.07,  -2.578814,-0.846,-4.179,0
11006	start.hed	509.47,  -0.935859,-7.289,-0.576,0
11139	start.hed	509.56,  -1.932504,-7.223,-11.673,0
11478	start.hed	506.14,  0.969298,0.930,-2.400,0
11586	start.hed	506.36,  0.968210,0.906,-2.383,0
12319	start.hed	507.02,  0.477682,-7.304,6.964,1
12455	start.hed	502.40,  -0.679968,-4.577,-10.338,1
12829	start.hed	505.57,  -1.294995,0.045,0.658,1
13031	start.hed	509.22,  -2.432340,-1.002,-10.108,0
13673	start.hed	506.73,  -2.804208,-8.455,-5.974,0
14125	start.hed	508.44,  0.495572,5.341,9.073,1
14678	start.hed	501.61,  1.297199,-0.159,0.806,1
14529	start.hed	510.15,  -2.514988,0.265,-4.565,1
14853	start.hed	501.55,  1.296339,-0.115,0.962,1
14893	start.hed	522.81,  2.726576,-8.681,-8.427,0
15254	start.hed	508.86,  2.374434,8.736,0.939,1
