#LST
493	proj.img
1168	start.hed	508.18,  2.086344,10.767,3.073,1
174	start.hed	515.85,  0.130604,-1.839,5.544,1
1708	start.hed	505.85,  -2.421552,-7.097,-2.769,0
1775	start.hed	506.70,  1.701192,9.290,-6.464,1
2335	start.hed	529.66,  2.974041,-10.000,-10.000,0
2448	start.hed	506.11,  -3.296232,7.832,-2.852,1
2731	start.hed	513.87,  -0.404496,1.410,12.855,0
3536	start.hed	504.20,  0.301787,4.128,4.451,0
4941	start.hed	506.87,  -0.755409,0.295,4.302,0
5486	start.hed	507.54,  0.242721,-9.070,8.184,1
6059	start.hed	508.87,  -2.543760,-10.015,-3.559,0
6888	start.hed	510.51,  -0.776796,0.212,6.763,0
7159	start.hed	500.61,  -0.680051,-7.993,2.238,1
7518	start.hed	502.90,  -0.419689,-3.618,5.469,1
7833	start.hed	511.12,  -2.079962,-2.163,-11.132,1
8583	start.hed	520.99,  2.554702,-3.077,-10.097,0
8575	start.hed	508.23,  2.803087,2.237,-3.984,0
8899	start.hed	506.42,  1.647109,6.581,-6.641,1
11194	start.hed	504.44,  -1.921806,-3.377,-6.419,1
11481	start.hed	508.26,  0.200945,-2.381,7.655,1
12912	start.hed	505.41,  0.762246,1.870,7.781,1
13610	start.hed	508.34,  -2.792176,-9.660,-9.230,0
14128	start.hed	506.45,  -2.924010,-4.057,-3.091,0
14779	start.hed	510.46,  -0.973117,-12.174,-4.925,1
